Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Jacob WaguespackNo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,10,558,368,0%,13.0,0,9,1.38,0.85,0,
"Wandy PeraltaNew Player Note SD - P W, 19-2 @ KC",@ KC,FA,41,488,369,0%,48.1,0,31,2.23,1.28,0,
"Dustin MayNew Player Note STL - P Bot 4, 5-0 @ AZ",@ AZ,No Longer Rowdy,19,252,371,28%,98.0,0,95,4.78,1.32,9,
"Samy Natera Jr.No new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,13,533,372,0%,15.1,1,22,2.93,1.04,0,
"Matthew BoydNew Player Note CHC - P  W, 10-1 vs MIN",MIN,Ranger danger,10,331,373,70%,52.0,0,51,4.15,1.21,3,
"Ryan RolisonNo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,33,551,374,1%,36.1,1,37,2.72,1.29,0,
"Gage JumpPlayer Note ATH - P Top 5, 1-2 vs WSH",WSH,Trust The Process,10,236,375,29%,52.1,0,56,3.78,1.32,3,
"MacKenzie GoreNew Player Note TEX - P L, 5-8 @ ATL",@ ATL,No Longer Rowdy,21,191,376,79%,110.2,0,122,4.8,1.28,6,
"Hogan HarrisNo new player Notes ATH - P Top 5, 1-2 vs WSH",WSH,FA,46,246,378,7%,42.2,6,57,3.38,1.52,0,
"Trevor RichardsPlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,25,615,379,0%,37.0,0,36,3.65,1.08,0,
"Dean KremerPlayer Note BAL - P W, 5-2 @ HOU",@ HOU,No Longer Rowdy,5,515,380,13%,26.0,0,29,4.15,1.12,2,
"Ian SeymourNew Player Note TB - P L, 1-6 @ BOS",@ BOS,Stealth Bomber,34,377,381,46%,67.2,2,79,4.79,1.17,1,
"Enyel De Los SantosNo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,43,556,382,2%,45.2,5,42,4.34,1.18,0,
"PJ PoulinNANew Player Note WSH - P Top 5, 2-1 @ ATH",@ ATH,FA,35,485,384,0%,36.2,3,25,2.7,1.31,0,
"Caleb KilianPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,39,219,385,12%,39.0,8,48,4.62,1.36,0,
"Will WarrenPlayer Note NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",NY Bombsquad,19,264,386,61%,98.1,0,96,4.03,1.36,5,
"Ty MaddenNANo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,7,576,388,0%,20.0,0,23,3.15,1.05,0,
"José A. FerrerNo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,46,465,389,4%,41.0,3,35,2.85,1.37,0,
"Joe MantiplyIL60No new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,17,1187,390,0%,17.2,0,16,2.04,1.13,0,
"Brant HurterIL60No new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,21,434,391,1%,25.1,0,18,2.84,1.07,0,
"Gabriel HughesPlayer Note COL - P Top 8, 3-9 vs CIN",CIN,Joey Spierer's Team,3,599,392,1%,14.1,1,14,3.14,1.12,1,
"Jeff HoffmanPlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,45,404,393,53%,42.1,5,66,4.46,1.39,0,
"Hunter BrownPlayer Note HOU - P  L, 2-5 vs BAL",BAL,Joe Byron,7,69,394,96%,35.1,0,39,3.57,1.39,3,
"Graham AshcraftIL60Player Note CIN - P Top 8, 9-3 @ COL",@ COL,FA,26,529,395,1%,27.0,1,32,3.33,1.22,0,
"Bailey OberPlayer Note MIN - P L, 1-10 @ CHC",@ CHC,Cash is King,14,346,396,19%,77.0,0,58,4.32,1.19,4,
"Yovanny CruzNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,3,577,398,0%,4.1,0,6,0.0,0.23,0,
"Yohan RamírezNo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,41,459,399,1%,52.1,1,59,3.27,1.36,0,
"Erik SabrowskiNo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,36,461,401,15%,28.0,0,48,3.54,1.32,0,
"Reynaldo LópezPlayer Note ATL - P W, 8-5 vs TEX",TEX,Cookie Monster ,22,396,402,26%,61.2,0,54,3.5,1.26,1,
"Daniel PalenciaIL15Player Note CHC - P  W, 10-1 vs MIN",MIN,FA,19,228,403,59%,16.2,3,19,2.7,1.38,0,
"José FerminNo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,27,523,405,0%,30.0,0,32,3.0,1.23,0,
"Jeremiah EstradaIL15No new player Notes SD - P W, 19-2 @ KC",@ KC,FA,21,443,406,5%,20.2,1,23,3.48,1.11,0,
"Mason MontgomeryPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,39,617,407,3%,38.0,1,56,4.03,1.29,0,
"AJ BlubaughNo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,37,437,409,1%,62.0,0,63,3.63,1.26,0,
"Brennan BernardinoNo new player Notes COL - P Top 8, 3-9 vs CIN",CIN,FA,47,464,410,0%,40.1,1,30,2.9,1.26,0,
"Julian GarciaNo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,FA,8,586,411,0%,13.0,0,13,2.77,0.92,0,
"Daniel DuarteNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,3,583,413,0%,5.0,0,3,0.0,0.4,0,
"Hunter GaddisNo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,36,479,414,12%,30.2,1,29,2.64,1.34,0,
"Drew AndersonNo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,34,518,415,1%,56.0,2,70,4.18,1.29,0,
"Franco AlemanNo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,8,589,416,0%,9.0,0,5,1.0,0.89,0,
"Victor MederosNo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,4,1190,417,0%,7.0,0,6,1.29,0.71,0,
"Yuki MatsuiNo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,25,581,418,0%,33.0,0,35,2.73,1.33,0,
"Miguel UllolaNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,2,590,419,0%,4.0,0,7,0.0,0.5,0,
"Riley MartinIL15No new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,8,592,420,0%,8.1,0,10,2.16,0.84,0,
"Erik MillerPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,33,489,421,1%,28.1,2,40,3.18,1.45,0,
"Angel ChivilliNo new player Notes NYY - P L, 2-8; 7:20 pm","LAD,LAD",FA,6,1457,423,0%,7.2,0,8,1.17,0.91,0,
"Seth LugoPlayer Note KC - P L, 2-19 vs SD",SD,Rafael Devers,20,256,424,26%,110.2,0,89,4.39,1.41,11,
"Peyton GrayNo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,27,484,426,1%,33.2,0,37,3.48,1.22,0,
"Ryan ThompsonNo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,39,474,427,0%,35.0,0,26,2.83,1.23,0,
"Cade HortonIL60No new player Notes CHC - P  W, 10-1 vs MIN",MIN,FA,2,427,428,23%,7.1,0,4,2.45,0.82,1,
"William KempnerIL15Player Note MIA - P L, 1-3 @ MIL",@ MIL,FA,9,557,429,0%,12.1,0,14,2.92,0.97,0,
"James KarinchakNAPlayer Note ATL - P W, 8-5 vs TEX",TEX,FA,9,594,431,0%,9.2,0,8,1.86,0.93,0,
"Craig YohoNo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,11,554,432,0%,15.0,0,15,4.2,0.8,0,
"Griffin JaxPlayer Note TB - P L, 1-6 @ BOS",@ BOS,The Eds,26,345,433,56%,75.0,0,77,4.08,1.27,1,
"Chase SilsethNo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,42,505,434,0%,35.2,0,45,3.03,1.4,0,
"Khristian CurtisNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,1,1126,435,0%,5.0,0,4,0.0,0.8,0,
"Mark Leiter Jr.No new player Notes ATH - P Top 5, 1-2 vs WSH",WSH,FA,36,610,436,0%,33.2,4,38,4.28,1.31,0,
"Shane BazPlayer Note BAL - P W, 5-2 @ HOU",@ HOU,No Longer Rowdy,19,288,437,53%,111.2,0,99,4.19,1.39,7,
"Brad LordIL15Player Note WSH - P Top 5, 2-1 @ ATH",@ ATH,FA,27,495,438,1%,58.0,1,52,3.88,1.22,0,
"Aaron AshbyNo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,46,341,439,35%,56.2,0,77,3.49,1.43,0,
"Kyle FinneganNo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,41,432,440,6%,42.2,1,32,2.11,1.48,0,
"Blade TidwellNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,8,1249,441,0%,12.0,1,10,3.0,1.08,0,
"Pete FairbanksNew Player Note MIA - P L, 1-3 @ MIL",@ MIL,Joe Byron,32,149,442,68%,30.0,13,40,6.6,1.43,0,
"Garrett CleavingerNo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,32,430,443,10%,28.0,2,38,3.86,1.36,0,
"Grant AndersonNo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,38,520,444,0%,42.1,0,32,3.61,1.16,0,
"Michael GroveNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,1,567,445,0%,3.0,0,4,0.0,0.33,0,
"Cooper CriswellIL60No new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,26,549,446,0%,30.2,1,23,3.52,1.17,0,
"Elvis AlvaradoNo new player Notes ATH - P Top 5, 1-2 vs WSH",WSH,FA,25,499,447,3%,27.1,2,35,4.94,1.13,0,
"Logan VanWeyNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,5,601,449,0%,6.0,0,5,1.5,0.83,0,
"JoJo RomeroIL15New Player Note STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,44,469,450,11%,43.0,0,43,3.35,1.3,0,
"Carl Edwards Jr.NANo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,2,613,451,0%,6.0,0,11,1.5,1.17,0,
"Brock BurkeNo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,FA,48,470,452,0%,45.2,1,40,2.96,1.38,0,
"Vince VelasquezNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,2,614,453,0%,3.1,0,1,0.0,0.3,0,
"Chase DollanderIL60No new player Notes COL - P Top 8, 3-9 vs CIN",CIN,FA,10,1463,455,4%,44.0,0,47,3.89,1.3,1,
"Eduardo RiveraPlayer Note BOS - P W, 6-1 vs TB",TB,FA,3,619,456,1%,9.1,0,9,2.89,0.96,0,
"Ty BlachNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,1,685,457,0%,3.0,0,2,0.0,0.33,0,
"Brock StewartNo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,10,548,459,0%,9.2,0,10,2.79,1.03,0,
"Albert SuárezNo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,16,509,460,0%,40.2,1,28,3.54,1.2,0,
"Stephen KolekIL15New Player Note KC - P L, 2-19 vs SD",SD,No Longer Rowdy,10,255,461,8%,54.0,0,34,4.5,1.24,5,
"Ryan FernandezNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,11,1244,462,0%,13.1,0,20,2.7,1.35,0,
"Dax FultonPlayer Note MIA - P L, 1-3 @ MIL",@ MIL,FA,3,624,463,0%,7.0,0,6,2.57,0.86,0,
"Alec GamboaNAPlayer Note BOS - P W, 6-1 vs TB",TB,FA,5,621,464,0%,8.0,1,5,2.25,1.13,0,
"Garrett StallingsNAPlayer Note MIL - P W, 3-1 vs MIA",MIA,FA,2,623,465,0%,3.0,0,4,0.0,0.67,0,
"Tyler PhillipsPlayer Note MIA - P L, 1-3 @ MIL",@ MIL,Joey Spierer's Team,25,539,466,5%,75.0,2,56,3.48,1.39,2,
"Dylan SmithNo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,15,574,468,0%,13.1,1,13,3.38,1.2,0,
"Javier AssadPlayer Note CHC - P W, 10-1 vs MIN",MIN,Trust The Process,15,460,469,10%,61.1,0,37,4.11,1.13,1,
"Jonathan PintaroNAPlayer Note NYM - P W, 6-1 @ PHI",@ PHI,FA,5,684,470,0%,12.1,0,12,5.11,0.73,0,
"Caleb ThielbarNo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,33,456,472,2%,28.2,2,37,4.4,1.29,0,
"Garrett ActonIL60Player Note MIN - P L, 1-10 @ CHC",@ CHC,FA,4,582,473,0%,6.2,0,9,2.7,1.05,0,
"Orlando RibaltaNo new player Notes WSH - P Top 5, 4-1 @ ATH",@ ATH,FA,30,1331,474,0%,27.2,2,23,3.9,1.23,0,
"Tim HerrinIL15New Player Note CLE - P L, 1-7 vs PIT",PIT,FA,41,584,475,1%,32.1,0,27,3.06,1.3,0,
"Andrew KittredgePlayer Note BAL - P W, 5-2 @ HOU",@ HOU,Joe Byron,31,477,477,6%,27.0,3,24,4.0,1.3,0,
"Nick PivettaIL60No new player Notes SD - P W, 19-2 @ KC",@ KC,Cookie Monster ,4,222,479,72%,16.0,0,24,4.5,1.13,0,
"Ben PeoplesNo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,4,634,480,0%,4.1,0,3,2.08,0.69,0,
"Josh EknessIL60No new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,6,633,481,0%,5.1,1,5,1.69,1.31,0,
"Brad KellerIL15Player Note PHI - P L, 1-6 vs NYM",NYM,FA,32,439,482,3%,31.1,3,32,4.02,1.34,0,
"Yacksel RíosNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,1,639,483,0%,1.2,0,2,0.0,0.0,0,
"Yerry De los SantosNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,5,722,484,0%,8.2,0,7,1.04,1.38,0,
"Greg WeissertNo new player Notes BOS - P W, 6-1 vs TB",TB,FA,40,463,485,0%,38.1,0,35,3.76,1.23,0,
"Lazaro EstradaPlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,2,716,486,0%,6.1,0,3,2.84,0.79,0,
"Eddy YeanNANo new player Notes WSH - P Top 5, 4-1 @ ATH",@ ATH,FA,1,641,487,0%,2.0,0,3,0.0,0.5,0,
"Sam BachmanNo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,36,668,488,1%,42.1,1,45,4.04,1.28,0,
"John SchreiberNo new player Notes KC - P L, 2-19 vs SD",SD,FA,41,579,489,0%,37.1,1,28,3.38,1.29,0,
"Eiberson CastellanoNANo new player Notes COL - P Top 8, 3-9 vs CIN",CIN,FA,1,640,490,0%,3.0,1,2,0.0,1.33,0,
"Tyler SchweitzerPlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,7,588,491,0%,13.0,1,7,2.77,1.23,0,
"Blake TreinenIL15No new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,29,521,493,1%,23.0,1,25,3.52,1.35,0,
"CJ Van EykNAPlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,1,651,496,0%,2.0,0,1,0.0,0.5,0,
"Emilio PagánNo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,Cash is King,18,287,497,66%,16.1,7,16,6.06,1.41,0,
"Enmanuel De JesúsNANo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,22,560,499,0%,31.2,1,31,3.98,1.26,0,
"Tyler HoltonNo new player Notes DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,40,482,500,8%,42.0,0,35,3.21,1.33,0,
"Sam HentgesNo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,24,593,501,0%,18.2,0,22,1.93,1.61,0,
"Tanner AndrewsNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,2,656,502,0%,3.0,0,1,0.0,1.0,0,
"Ryan FeltnerPlayer Note COL - P Top 8, 3-9 vs CIN",CIN,FA,13,1328,503,4%,63.1,0,47,4.55,1.29,5,
"Joe BoyleNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,3,1292,505,1%,15.2,0,16,5.17,1.09,1,
"Chad DallasNAPlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,2,597,506,0%,4.2,0,3,1.93,1.07,0,
"Brooks KriskeIL60No new player Notes ATH - P Top 5, 1-4 vs WSH",WSH,FA,2,1314,507,0%,2.2,0,2,0.0,1.13,0,
"Gavin HollowellNo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,9,1146,508,0%,10.1,0,11,2.61,1.35,0,
"Hoby MilnerIL15Player Note CHC - P W, 10-1 vs MIN",MIN,FA,38,591,509,0%,35.2,1,18,3.53,1.21,0,
"Tom CosgrovePlayer Note WSH - P Top 5, 4-1 @ ATH",@ ATH,FA,2,691,511,0%,2.0,0,2,0.0,1.0,0,
"Ryan YarbroughNo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,24,542,512,0%,37.0,2,27,4.14,1.22,0,
"Jhony BritoNANew Player Note SD - P W, 19-2 @ KC",@ KC,FA,3,679,514,0%,5.1,0,4,3.38,0.94,0,
"Jason FoleyPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,1,622,515,0%,1.0,0,1,0.0,0.0,0,
"Joel PegueroIL60No new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,11,570,516,0%,11.1,0,5,2.38,1.24,0,
"Tyler ZuberNo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,15,1312,517,0%,13.0,1,14,3.46,1.38,0,
"Nick DavilaNo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,18,682,520,0%,20.1,1,9,3.54,1.18,0,
"Tyler DavisNAPlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,24,571,522,0%,26.1,1,22,4.1,1.22,0,
"Easton McGeeNAPlayer Note KC - P L, 2-19 vs SD",SD,FA,2,1170,523,0%,2.0,0,1,0.0,1.0,0,
"Caleb FergusonNo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,FA,20,540,524,0%,19.2,1,19,3.2,1.42,0,
"Tommy NancePlayer Note MIN - P L, 1-10 @ CHC",@ CHC,FA,34,504,526,0%,35.1,0,37,3.82,1.3,0,
"Welinton HerreraIL60No new player Notes COL - P Top 8, 3-9 vs CIN",CIN,FA,3,677,528,0%,2.1,0,2,0.0,1.29,0,
"Andrew AbbottPlayer Note CIN - P Top 8, 9-3 @ COL",@ COL,Detroit Fastballs,20,170,529,63%,105.0,0,84,4.11,1.42,7,
"Jimmy HergetNo new player Notes COL - P Top 8, 3-9 vs CIN",CIN,FA,26,544,530,2%,25.2,3,27,4.21,1.4,0,
"Jake EderNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,4,647,532,0%,4.0,0,1,2.25,1.0,0,
"Pierce JohnsonNo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,FA,32,506,533,0%,28.2,1,26,4.08,1.26,0,
"Zack KellyNA7No new player Notes BOS - P W, 6-1 vs TB",TB,FA,17,1143,534,0%,16.1,0,14,3.31,1.29,0,
"Zach PopNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,7,1330,535,0%,7.1,0,6,3.68,1.09,0,
"Brian FitzpatrickIL60No new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,5,687,536,0%,6.2,0,5,1.35,1.5,0,
"Cole RagansIL60Player Note KC - P  L, 2-19 vs SD",SD,FA,8,606,537,51%,35.1,0,45,4.84,1.42,3,
"Cody PonceIL60No new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,1,692,539,3%,2.1,0,3,3.86,0.86,0,
"Sam MollNo new player Notes CIN - P Top 8, 9-3 @ COL",@ COL,FA,45,680,540,0%,39.2,1,44,4.08,1.34,0,
"Ryne NelsonIL60Player Note AZ - P Bot 4, 0-5 vs STL",STL,FA,15,392,541,30%,83.1,0,62,4.97,1.24,6,
"Julian FernándezNANo new player Notes WSH - P Top 5, 4-1 @ ATH",@ ATH,FA,3,660,542,0%,4.0,0,3,2.25,1.25,0,
"Guillo ZuñigaNAPlayer Note NYM - P W, 6-1 @ PHI",@ PHI,FA,1,701,545,0%,1.0,0,1,0.0,1.0,0,
"Cameron WestonNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,1,697,546,0%,1.0,0,1,0.0,1.0,0,
"Zach EflinIL60No new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,1,1313,547,2%,3.2,0,7,2.45,1.64,0,
"Anthony NunezNo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,35,587,548,0%,39.1,3,41,4.81,1.27,0,
"Kyle LeahyPlayer Note STL - P Bot 4, 5-0 @ AZ",@ AZ,Cookie Monster ,18,469,550,17%,89.1,0,75,3.73,1.41,3,
"Duncan DavittNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,1,703,551,0%,1.0,0,0,0.0,1.0,0,
"Xzavion CurryNo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,3,1176,552,0%,3.1,0,2,2.7,1.2,0,
"Burch SmithIL60Player Note DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,13,1138,553,0%,17.0,0,20,3.18,1.47,0,
"Jack AndersonNAPlayer Note MIN - P L, 1-10 @ CHC",@ CHC,FA,3,711,554,0%,8.0,0,6,3.38,1.25,0,
"Josh WalkerNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,5,1204,555,0%,6.0,0,7,4.5,1.17,0,
"Spencer BivensNAPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,2,676,556,0%,2.0,0,3,0.0,2.0,0,
"Jose CuasNAPlayer Note KC - P L, 2-19 vs SD",SD,FA,5,1161,557,0%,6.1,0,9,2.84,1.58,0,
"Tyler SamaniegoNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,20,1141,558,0%,20.1,0,17,2.66,1.48,0,
"Kervin CastroNew Player Note NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,1,715,559,0%,2.0,0,2,4.5,1.0,0,
"Paul GervaseNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,4,1183,560,0%,7.2,0,8,2.35,1.57,0,
"Owen MurphyNANew Player Note ATL - P W, 8-5 vs TEX",TEX,FA,3,725,562,3%,6.2,0,6,4.05,1.2,0,
"Mick AbelIL60Player Note MIN - P L, 1-10 @ CHC",@ CHC,FA,4,363,563,7%,20.1,0,23,3.98,1.57,2,
"Randy DobnakNew Player Note KC - P L, 2-19 vs SD",SD,FA,3,694,564,1%,14.0,0,7,1.93,1.5,0,
"Chase PettyPlayer Note CIN - P Top 8, 9-3 @ COL",@ COL,FA,11,1332,565,0%,24.2,1,11,4.38,1.09,0,
"Connor BrogdonNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,15,644,566,0%,15.1,1,14,5.28,1.11,0,
"Marco RayaIL15No new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,3,728,567,0%,6.0,0,4,3.0,1.33,0,
"Joey GerberNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,7,686,569,0%,8.1,0,8,4.32,1.2,0,
"Tyler KinleyPlayer Note ATL - P W, 8-5 vs TEX",TEX,FA,39,453,570,1%,34.0,0,35,4.24,1.26,0,
"Brett KerryNANo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,FA,1,731,571,0%,4.0,0,2,4.5,1.0,0,
"Drew RomNAPlayer Note MIL - P W, 3-1 vs MIA",MIA,FA,5,631,574,0%,5.2,0,11,3.18,1.76,0,
"Jesse ScholtensIL15No new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,9,510,575,1%,37.2,0,30,3.82,1.27,0,
"Jose EspadaNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,1,675,576,0%,1.0,0,0,0.0,2.0,0,
"Nate PearsonNANew Player Note HOU - P L, 2-5 vs BAL",BAL,FA,16,1334,577,0%,20.0,1,16,3.6,1.4,0,
"Hunter DobbinsNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,5,627,578,1%,22.1,1,23,4.03,1.39,0,
"Tyler UberstineNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,1,1158,580,0%,2.2,0,2,3.38,1.5,0,
"Zach BrzykcyNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,1,1425,581,0%,2.0,0,2,4.5,1.5,0,
"Kendry RojasNo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,8,645,582,0%,19.1,0,22,2.79,1.6,0,
"Tyler FergusonNo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,11,727,583,0%,10.2,0,14,6.75,0.94,0,
"Chase ShugartPlayer Note PHI - P L, 1-6 vs NYM",NYM,FA,27,537,584,0%,31.0,0,36,4.65,1.26,0,
"Tayler SaucedoNAPlayer Note LAA - P Bot 4, 1-1 vs DET",DET,FA,6,1308,586,0%,3.1,0,6,5.4,1.5,0,
"Mason BarnettNAPlayer Note ATH - P Top 5, 1-4 vs WSH",WSH,FA,13,1252,587,0%,21.1,2,21,4.64,1.36,0,
"Doug NikhazyNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,1,1282,589,0%,2.0,0,1,4.5,1.5,0,
"Woo-Suk GoNo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,2,1171,590,0%,2.0,0,1,4.5,1.5,0,
"Evan PhillipsNo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,3,635,591,1%,3.0,0,4,6.0,1.33,0,
"Cole SandsIL15Player Note MIN - P L, 1-10 @ CHC",@ CHC,FA,12,561,592,1%,11.2,1,11,4.63,1.37,0,
"Beck WayNo new player Notes KC - P L, 2-19 vs SD",SD,FA,17,653,593,0%,20.2,0,19,3.05,1.5,0,
"Steven CruzNo new player Notes KC - P L, 2-19 vs SD",SD,FA,31,557,595,0%,33.0,0,41,4.64,1.3,0,
"Brenan HanifeePlayer Note DET - P Bot 4, 1-1 @ LAA",@ LAA,FA,15,654,596,0%,14.2,0,6,3.07,1.36,0,
"Anthony BandaIL15Player Note MIN - P L, 1-10 @ CHC",@ CHC,FA,39,525,598,0%,34.1,2,33,4.46,1.34,0,
"Robert GarciaIL60No new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,9,541,599,4%,8.0,0,6,3.38,1.5,0,
"Juan BurgosNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,1,1269,600,0%,1.1,0,0,6.75,1.5,0,
"Bryse WilsonPlayer Note MIL - P W, 3-1 vs MIA",MIA,FA,5,1506,601,0%,13.2,0,12,4.61,1.24,0,
"Luis MedinaNo new player Notes ATH - P Top 5, 1-4 vs WSH",WSH,FA,32,1149,602,0%,43.2,0,52,3.71,1.47,0,
"Carson WhisenhuntNAPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,2,629,603,1%,10.2,0,6,3.38,1.41,0,
"Danny YoungPlayer Note ATL - P W, 8-5 vs TEX",TEX,FA,6,1184,604,0%,5.0,0,4,3.6,1.6,0,
