Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Payton TollePlayer Note BOS - P W, 6-1 vs TB",TB,Ranger danger,15,210,123,65%,84.0,0,87,3.11,1.07,8,
"Nick MartinezPlayer Note TB - P L, 1-6 @ BOS",@ BOS,Fightin Farmers,18,196,126,61%,105.1,0,62,2.65,1.12,9,
"Raisel IglesiasNew Player Note ATL - P W, 8-5 vs TEX",TEX,Rafael Devers,32,128,129,92%,33.1,19,37,2.16,1.05,0,
"Riley O'BrienPlayer Note STL - P Bot 4, 5-0 @ AZ",@ AZ,NY Bombsquad,40,177,130,79%,40.1,25,40,3.35,1.14,0,
"Peter LambertPlayer Note HOU - P L, 2-5 vs BAL",BAL,Stealth Bomber,16,217,133,54%,92.0,0,91,3.03,1.11,7,
"Aroldis ChapmanNew Player Note BOS - P W, 6-1 vs TB",TB,Detroit Fastballs,32,70,134,96%,30.2,21,38,2.05,1.21,0,
"Bryan WooNew Player Note SEA - P  Bot 4, 2-2 vs SF",SF,The Eds,19,38,137,98%,110.1,0,109,4.16,1.09,11,
"Trevor MegillNew Player Note MIL - P W, 3-1 vs MIA",MIA,Joey Spierer's Team,39,117,138,80%,38.0,15,48,2.84,0.95,0,
"David BednarPlayer Note NYY - P  L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",Rafael Devers,37,75,140,95%,40.0,18,45,2.7,1.1,0,
"Michael KingPlayer Note SD - P W, 19-2 @ KC",@ KC,Trust The Process,20,85,141,91%,113.1,0,96,3.34,1.16,9,
"Michael SorokaIL15Player Note AZ - P Bot 4, 0-5 vs STL",STL,Detroit Fastballs,15,167,143,68%,82.0,0,79,3.07,1.09,7,
"Dylan LeeNo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,45,378,145,25%,43.2,0,54,1.65,0.71,0,
"Gavin WilliamsNew Player Note CLE - P L, 1-7 vs PIT",PIT,Fightin Farmers,20,112,146,95%,119.1,0,145,4.0,1.15,7,
"Ranger SuarezIL15Player Note BOS - P  W, 6-1 vs TB",TB,Fightin Farmers,17,119,148,87%,91.1,0,97,3.15,1.16,7,
"Paul SewaldNew Player Note AZ - P Bot 4, 0-5 vs STL",STL,NY Bombsquad,39,106,149,64%,35.1,23,40,4.58,0.96,0,
"Sandy AlcantaraPlayer Note MIA - P L, 1-3 @ MIL",@ MIL,Joe Byron,21,172,152,93%,136.2,0,107,3.89,1.22,15,
"Jake BennettPlayer Note BOS - P W, 6-1 vs TB",TB,Joe Byron,9,408,154,56%,53.2,0,38,2.35,0.88,5,
"Reid DetmersPlayer Note LAA - P Bot 4, 1-1 vs DET",DET,Cash is King,20,327,155,59%,114.2,0,130,4.16,1.12,8,
"Sean BurkeNew Player Note CWS - P W, 3-0 @ TOR",@ TOR,NY Bombsquad,19,297,157,73%,105.2,0,115,3.41,1.17,6,
"Logan WebbNew Player Note SF - P Bot 4, 2-2 @ SEA",@ SEA,Ranger danger,17,41,158,97%,107.0,0,85,3.87,1.11,11,
"Nathan EovaldiNew Player Note TEX - P  L, 5-8 @ ATL",@ ATL,Trust The Process,18,79,161,94%,111.1,0,120,4.04,1.18,10,
"Michael WachaNo new player Notes KC - P L, 2-19 vs SD",SD,Stealth Bomber,19,186,163,60%,119.1,0,96,3.77,1.19,12,
"Shane McClanahanNew Player Note TB - P L, 1-6 @ BOS",@ BOS,Trust The Process,17,103,171,88%,86.0,0,82,2.83,1.13,4,
"J.T. GinnNew Player Note ATH - P Top 5, 1-2 vs WSH",WSH,Tm Mndlsn nd Mtchn,22,426,172,42%,109.1,0,100,3.46,1.22,9,
"Tyler GlasnowIL60Player Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",The Eds,7,194,176,88%,39.2,0,49,2.72,0.83,4,
"Davis MartinNew Player Note CWS - P W, 3-0 @ TOR",@ TOR,Joey Spierer's Team,19,237,177,69%,106.0,0,97,3.31,1.27,10,
"Tanner BibeePlayer Note CLE - P L, 1-7 vs PIT",PIT,Fightin Farmers,20,203,180,79%,113.0,0,87,3.9,1.15,11,
