"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
58,644433,"Tromp, Chadwick",182,31.9,0.222,0.056,0.286,0.278,0.218,0.177,0.169,4,18,83.9,19.9,2256,86.7,86.7,11,34,24,0,6.33,110,153,120,148,295,322,286,"1.657","-1.657","68.1","8.1","3.669932159",18,14,3,1,0,0,4,22.2,0,0,"2.59","0.49","0.24","-0.24","90.5",143,28.57142857142857,0,0,5.64,2.26,-0.02,2.27,0.222,0,"-2.856896552",0.169,0.242,"2.856896552",0.053,0.05299999999999999,0.036,0.041,32.4,"35.8",12.39285610054355,-9.202033222608389,28.948554108725826,0.45454545454545453,36.621548414213834,31.853428214284715
58,666310,"Naylor, Bo",389,14.9,0.308,0.154,0.4,0.462,0.331,0.231,0.214,4,13,88.5,9.7,2346,88.5,88.61,2,31,27,0.09999999999999432,6.49,119,148,124,153,288,319,297,"-0.149","0.149","70.3","7.4","3.481226976",13,10,2,2,0,0,3,23.1,0,0,"2.29","0.68","0.18","0.18","90.4",174,40,0,0,5.87,2.35,-0.07,2.41,0.308,0,"0.256896552",0.214,0.326,"-0.256896552",0.094,0.094,0.136,0.1,6.5,"42.8",6.759688897399884,-3.4228850637260844,29.580427024467987,0.4838709677419355,38.98110248935687,30.778042401063118
58,700246,"Williams, Carson",142,40.8,0,0,0,0,0.041,0.165,0.13,0,16,84.3,24.3,2149,87.9,87.69,15,36,22,-0.20000000000000284,6.32,108,150,115,144,304,322,288,"3.982","-3.982","72.8","7.7","3.722575886",17,9,0,0,0,0,7,41.2,1,5.9,"2.48","0.55","0.67","-0.67","91.7",161,33.33333333333333,0,0,5.47,2.42,0.21,2.32,0.059,0,"-6.865517241",0.181,0.176,"6.865517241",-0.13,-0.122,-0.176,-0.124,41.7,"30.9",14.657774708850644,-2.6010204921225393,34.31235505958664,0.4722222222222222,40.551471719798364,29.824956111865173
57,703520,"Bateman, Brett",158,36.1,0.313,0.063,0.417,0.375,0.301,0.202,0.205,5,16,81.4,2.9,2227,90.1,89.95,5,22,35,-0.09999999999999432,6.28,113,145,102,149,277,320,294,"-0.636","0.636","64.9","6.6","3.438248115",16,12,4,1,0,0,4,25,0,0,"2.39","0.45","0.68","0.68","89.3",143,9.090909090909092,0,0,5.5,2.41,-0.11,2.24,0.313,0,"1.115789474",0.205,0.253,"-1.115789474",0.108,0.10800000000000001,0.122,0.099,22.7,"31.8",0.03652973985013608,14.928118504648065,35.26823295126747,0.13636363636363635,37.043615657550475,21.884628364703847
57,650559,"De La Cruz, Bryan",131,43.5,0.417,0.25,0.444,0.667,0.515,0.434,0.316,5,12,83.1,-4.6,2344,87.3,87.34,8,28,29,0,6.24,112,153,124,148,298,323,288,"-2.847","2.847","71.1","7.5","4.450986138",15,10,4,0,0,1,2,13.3,2,13.3,"2.62","0.4","0.15","-0.15","90.4",128,30,10,6.666666666666667,5.8,2.38,0.3,2.27,0.533,1,"4.994736842",0.453,0.543,"-4.994736842",0.101,0.08000000000000002,0.124,0.081,28.6,"37.3",12.38278867846869,-1.2756044649205407,39.06384053279459,0.5357142857142857,36.92238577675066,28.777977507077747
57,640902,"Pereda, Jhonny",316,18,0.267,0.2,0.273,0.467,0.38,0.409,0.32,4,15,88.9,4,2201,86.7,86.59,4,27,30,-0.10000000000000853,6.13,105,152,126,149,300,320,286,"-0.562","0.562","72.0","7.6","2.9225306",18,12,3,0,0,1,3,16.7,2,11.1,"2.67","0.4","0.29","-0.29","92.0",139,58.333333333333336,8.333333333333332,5.555555555555555,5.78,1.69,0.06,2.24,0.389,1,"0.985964912",0.434,0.492,"-0.985964912",-0.053,-0.044999999999999984,-0.025,-0.029,14.8,"41.0",7.8886183521548885,-2.3469082774463668,30.933882823337647,0.6296296296296297,35.37484578667958,29.550804634183077
57,624431,"Trevino, Jose",346,16.5,0.267,0,0.4,0.267,0.237,0.253,0.268,4,15,91,12.3,2272,86.5,86.43,11,31,26,-0.09999999999999432,6.42,105,152,119,148,302,322,290,"1.053","-1.053","68.9","7.3","4.714562237",15,10,4,0,0,0,5,33.3,0,0,"2.66","0.46","0.46","-0.46","91.7",149,50,0,0,5.62,2.19,0.04,2.01,0.267,0,"-1.847368421",0.268,0.307,"1.847368421",-0.001,-0.0010000000000000009,-0.04,-0.016,35.5,"34.7",8.57453504073947,-6.6783173036136105,25.283976100491206,0.5483870967741935,41.03258593279715,31.137983680411107
56,696135,"Watson, Kahlil",339,16.5,0.176,0.059,0.25,0.235,0.179,0.254,0.202,3,17,89.4,17.5,2410,90.4,90.28,11,29,27,-0.10000000000000853,6.29,101,144,101,148,285,321,297,"2.005","-2.005","69.8","7.5","1.99579984",17,12,2,1,0,0,5,29.4,0,0,"2.22","0.62","0.28","0.28","91.7",212,33.33333333333333,16.666666666666664,11.76470588235294,5.59,1.99,-0.1,2.29,0.176,2,"-3.580357143",0.202,0.402,"3.580357143",-0.026,-0.026000000000000023,-0.167,-0.075,37.9,"35.8",12.944213293585442,7.4360967937645865,34.30596136898918,0.5517241379310345,37.68300466388833,23.568479435737828
55,666126,"Cortes, Carlos",1148,4.8,0.353,0.118,0.462,0.471,0.378,0.217,0.2,6,17,82.3,-1,2309,89,89.02,12,28,27,0,6.38,115,147,119,152,288,320,301,"-0.152","0.152","68.1","6.7","4.704461961",18,13,4,2,0,0,4,22.2,0,0,"2.29","0.64","0.38","0.38","90.4",99,23.076923076923077,0,0,5.61,2.42,-0.29,2.37,0.389,0,"0.276363636",0.244,0.228,"-0.276363636",0.153,0.14500000000000002,0.243,0.161,42.9,"34.3",2.6547305807507833,5.385889130336178,25.009714790441826,0.19230769230769232,40.14467312830092,23.716452541284223
52,669004,"Melendez, MJ",615,8.5,0.273,0.273,0.5,0.545,0.404,0.338,0.201,3,11,101.5,26.2,2428,86.8,86.11,8,23,29,-0.7000000000000028,5.83,123,148,116,153,295,328,305,"-1.28","1.28","74.2","8.1","1.664893977",13,5,2,0,0,1,6,46.2,1,7.7,"2.77","0.29","0.2","0.2","93.7",173,60,20,7.6923076923076925,5.71,1.52,-0.27,2.11,0.385,1,"2.461538462",0.324,0.44,"-2.461538462",0.072,0.061,0.105,0.066,34.8,"37.1",14.126738425783273,-10.823553518667271,30.461121353882056,0.4782608695652174,35.709619265212474,34.21255400074725
