PlayerId,MLBAMID,Name,NameASCII,Season,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitch,Pitches,LD%_BattedBall,GB%_BattedBall,FB%_BattedBall,IFFB%_BattedBall,HR/FB_BattedBall,Strikes,Balls,Pitches.1,xMov,zMov,Mov,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,Vertical Break,Vertical Drop,Horizontal Break,ArmAngle,SpinRate,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,H-Swing%,H-Contact%,H-Zone%,S-Swing%,S-Contact%,S-Zone%,C-Swing%,C-Contact%,C-Zone%,W-Swing%,W-Contact%,W-Zone%,SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%
33656,805999,A.J. Ewing,A.J. Ewing,2026,NYM,118,1.36,0.191780821,0.465753424,0.342465753,0.04,0.08,0.117647058,0.0,0.33783784,0.40540541,0.25675676,0.2027027,0.41891892,0.37837838,"FA,FC,FS,SI,CH,SL,CU,KC",489,0.2083333333333333,0.4722222222222222,0.3194444444444444,0.1304347826086956,0.0869565217391304,300,189,489,3.2625320325153373,3.806888813087935,8.278064531697341,0.2458333333333333,0.6144578313253012,0.4335378323108384,0.4745762711864407,0.8104575163398693,0.7169811320754716,0.50920245398773,0.1226993865030674,-0.5696911,-0.1165012474437627,6.328033472801635,29.17342515337424,4.632605393047035,35.99843153374235,2292.523517382413,75,88.09999999999998,104.2,106.7,9.73611111111111,6,0.08,34,0.4533333333333333,0.6950354609929078,0.8571428571428571,0.2883435582822086,0.4598930481283422,0.6976744186046512,0.3824130879345603,0.2201834862385321,0.3333333333333333,0.2229038854805726,0.0769230769230769,0.0,0.1022494887525562,0.5957446808510638,0.6607142857142857,0.1922290388548057,0.3225806451612903,0.7666666666666667,0.1901840490797546
15640,592450,Aaron Judge,Aaron Judge,2026,NYY,80,1.125,0.15,0.45,0.4,0.0,0.3125,0.055555555,0.0,0.5,0.25,0.25,0.1,0.4,0.5,"FA,FC,FS,SI,CH,SL,CU,KC",345,0.2,0.45,0.35,0.1428571428571428,0.3571428571428571,197,148,345,4.079517232463767,4.290432361449274,8.783294553623188,0.2393617021276596,0.5987261146496815,0.4028985507246377,0.3777777777777777,0.776595744680851,0.6474820143884892,0.4550724637681159,0.1420289855072463,-4.2992246000000005,-1.2461520579710146,7.166957536898553,28.647530608695646,6.091957886956521,38.42746173913044,2157.8115942028985,40,94.12,109.6,116.2,12.125,8,0.2,24,0.6,0.7051282051282052,0.8181818181818182,0.2260869565217391,0.4689655172413793,0.6323529411764706,0.4202898550724637,0.1839080459770115,0.125,0.2521739130434782,0.0,0.0,0.0985507246376811,0.5285714285714286,0.6486486486486487,0.2028985507246377,0.4133333333333333,0.6129032258064516,0.217391304347826
29539,694673,Abimelec Ortiz,Abimelec Ortiz,2026,WSN,9,3.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.75,0.25,"FA,FC,FS,SI,SL,CU",40,0.0,0.75,0.25,0.0,0.0,27,13,40,0.4612479875,2.7220291000000003,7.966508175000001,0.4545454545454545,0.6111111111111112,0.525,0.5,1.0,0.7619047619047619,0.45,0.125,0.8144047999999999,2.036012,4.451874999999999,32.75163,-0.3031847499999998,37.5494275,2252.175,4,77.3,92.3,92.3,10.25,0,0.0,0,0.0,0.5,1.0,0.15,0.631578947368421,0.8333333333333334,0.475,0.4444444444444444,0.5,0.225,0.3333333333333333,0.5,0.15,0.6666666666666666,0.8333333333333334,0.225,0.6,0.8333333333333334,0.25
27962,691182,Adael Amador,Adael Amador,2026,COL,23,1.8,0.176470588,0.529411764,0.294117647,0.0,0.0,0.222222222,0.0,0.64705882,0.11764706,0.23529412,0.17647059,0.47058824,0.35294118,"FA,FC,SI,CH,SL,CU",89,0.2352941176470588,0.5294117647058824,0.2352941176470588,0.0,0.0,62,27,89,1.582024247191011,2.658017902247191,8.104178921348314,0.2564102564102564,0.8,0.5617977528089888,0.5,0.975,0.88,0.5617977528089888,0.0674157303370786,-2.1281955,-2.391230898876404,4.34117432247191,31.92075393258427,1.6716013146067414,37.0163712247191,2353.0,17,82.04117647058825,108.0,108.5,6.470588235294118,1,0.0588235294117647,4,0.2352941176470588,0.935483870967742,1.0,0.348314606741573,0.53125,0.7647058823529411,0.3595505617977528,0.1052631578947368,0.5,0.2134831460674157,0.2857142857142857,0.5,0.0786516853932584,0.55,0.8181818181818182,0.2247191011235955,0.5,0.6666666666666666,0.1348314606741573
15223,624428,Adam Frazier,Adam Frazier,2026,LAA,21,3.0,0.076923076,0.692307692,0.23076923,0.333333333,0.0,0.0,0.0,0.42857143,0.35714286,0.21428571,0.07142857,0.78571429,0.14285714,"FA,FC,SI,CH,SL,CU",78,0.1538461538461538,0.6153846153846154,0.2307692307692307,0.3333333333333333,0.0,46,32,78,5.267299897435897,4.673869371923076,9.182919487179488,0.1351351351351351,0.6585365853658537,0.4102564102564102,0.4,0.925925925925926,0.84375,0.5256410256410257,0.0641025641025641,-0.0462735999999999,-0.0593251282051281,7.822996128205129,26.907329487179485,8.18942735897436,29.26475910256411,2210.6153846153848,14,87.53846153846153,97.3,99.7,7.846153846153846,0,0.0,5,0.3571428571428571,0.6111111111111112,0.8181818181818182,0.2307692307692307,0.6129032258064516,0.8947368421052632,0.3974358974358974,0.0952380952380952,0.5,0.2692307692307692,0.0,0.0,0.1025641025641025,0.65,1.0,0.2564102564102564,0.5454545454545454,0.6666666666666666,0.141025641025641
24598,680718,Addison Barger,Addison Barger,2026,TOR,4,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,"FA,FC,CH,SL,CU",25,0.0,0.5,0.5,0.0,0.0,14,11,25,2.58001668,4.803571399999999,10.8238848,0.3333333333333333,0.3846153846153846,0.36,0.75,1.0,0.8888888888888888,0.52,0.04,0.4176701,1.6706804000000002,8.051697,27.8842624,3.4300344,52.50441999999999,2367.56,2,88.0,99.8,99.8,20.5,0,0.0,1,0.5,0.6,1.0,0.2,0.3076923076923077,1.0,0.52,0.2,1.0,0.2,0.5,0.0,0.08,0.5,1.0,0.24,0.1428571428571428,1.0,0.28
26288,668939,Adley Rutschman,Adley Rutschman,2026,2 Tms,120,1.117647058,0.234042553,0.404255319,0.361702127,0.058823529,0.088235294,0.026315789,0.0,0.37234043,0.43617021,0.19148936,0.12765957,0.57446809,0.29787234,"FA,FC,FS,SI,CH,SL,CU,KC",481,0.2872340425531915,0.4042553191489361,0.3085106382978723,0.1034482758620689,0.1034482758620689,301,180,481,4.137950509355508,3.827847898128897,9.115995790020794,0.2682926829268293,0.5319148936170213,0.3970893970893971,0.7878787878787878,0.92,0.8743455497382199,0.4885654885654886,0.0498960498960499,5.408092999999999,1.1243436590436588,6.364279081288983,29.22805871101871,6.175065488773388,35.49508869022868,2206.4074844074844,94,87.49255319148935,102.4,107.9,12.872340425531917,4,0.0425531914893617,34,0.3617021276595745,0.5950413223140496,0.9583333333333334,0.2515592515592516,0.4824120603015075,0.875,0.4137214137214137,0.2072072072072072,0.6086956521739131,0.2307692307692307,0.0,0.0,0.1039501039501039,0.5221238938053098,0.8813559322033898,0.2349272349272349,0.4302325581395348,0.8648648648648649,0.1787941787941788
19287,666969,Adolis García,Adolis Garcia,2026,PHI,68,0.736842105,0.25,0.318181818,0.431818181,0.105263157,0.210526315,0.071428571,0.0,0.36363636,0.40909091,0.22727273,0.06818182,0.45454545,0.47727273,"FA,FC,FS,SI,CH,SL,CU,KC",286,0.3488372093023256,0.3255813953488372,0.3255813953488372,0.1428571428571428,0.2857142857142857,178,108,286,4.640684617832169,4.54074185104895,9.200607195804194,0.3112582781456953,0.6,0.4475524475524475,0.5106382978723404,0.8888888888888888,0.75,0.472027972027972,0.1118881118881118,-3.2618973,-1.1405235314685316,7.602323039160839,27.58249388111888,7.085292048251748,34.802156398601404,2159.713286713287,44,93.4409090909091,104.8,106.9,18.704545454545453,5,0.1136363636363636,25,0.5681818181818182,0.6865671641791045,0.9130434782608696,0.2342657342657342,0.5371900826446281,0.7538461538461538,0.4230769230769231,0.2222222222222222,0.3125,0.2517482517482518,0.0384615384615384,0.0,0.0909090909090909,0.5633802816901409,0.825,0.2482517482517482,0.5,0.64,0.1748251748251748
29554,680728,Adrian Del Castillo,Adrian Del Castillo,2026,ARI,28,0.714285714,0.142857142,0.357142857,0.5,0.0,0.0,0.0,0.0,0.23529412,0.52941176,0.23529412,0.23529412,0.64705882,0.11764706,"FA,FC,SI,CH,SL,CU",104,0.1428571428571428,0.3571428571428571,0.5,0.2857142857142857,0.0,75,29,104,2.367759453846153,3.960013347692308,7.604062721153847,0.3191489361702128,0.6842105263157895,0.5192307692307693,0.4,0.7692307692307693,0.6666666666666666,0.5480769230769231,0.173076923076923,5.4632139,5.253090288461538,6.592846019230769,27.70155576923077,3.0560417884615387,38.25985490384615,2363.75,17,81.62142857142855,98.5,100.4,14.0,1,0.0588235294117647,5,0.2941176470588235,0.84,0.8571428571428571,0.2403846153846154,0.5306122448979592,0.6153846153846154,0.4711538461538461,0.3157894736842105,0.3333333333333333,0.1826923076923076,0.0909090909090909,0.0,0.1057692307692307,0.5454545454545454,0.6666666666666666,0.3173076923076923,0.5,0.5,0.1538461538461538
26546,682663,Agustín Ramírez,Agustin Ramirez,2026,MIA,81,1.375,0.191489361,0.468085106,0.340425531,0.0625,0.0625,0.136363636,0.0,0.42553191,0.38297872,0.19148936,0.10638298,0.44680851,0.44680851,"FA,FC,FS,SI,CH,SL,CU,KC",335,0.2608695652173913,0.4565217391304347,0.2826086956521739,0.3076923076923077,0.0769230769230769,200,135,335,3.611514038507463,3.7652914573731344,8.977016137313434,0.2441860465116279,0.7239263803680982,0.4776119402985074,0.4523809523809524,0.788135593220339,0.7,0.4865671641791044,0.1432835820895522,-0.9667297000000014,-0.2885760298507467,6.256098614925372,30.302667791044776,5.247500700597015,36.95416886567165,2152.017910447761,47,93.6085106382979,109.9,114.9,10.53191489361702,3,0.0638297872340425,23,0.4893617021276595,0.8076923076923077,0.8571428571428571,0.2328358208955223,0.5507246376811594,0.6973684210526315,0.4119402985074626,0.2317073170731707,0.2631578947368421,0.244776119402985,0.054054054054054,0.0,0.1104477611940298,0.625,0.6444444444444445,0.2149253731343283,0.4696969696969697,0.7741935483870968,0.1970149253731343
31564,702176,Alan Roden,Alan Roden,2026,MIN,13,2.5,0.222222222,0.555555555,0.222222222,0.0,0.0,0.2,0.5,0.54545455,0.27272727,0.18181818,0.09090909,0.54545455,0.36363636,"FA,FC,SI,SL,CU",38,0.2,0.6,0.2,0.0,0.0,26,12,38,4.016959781578947,6.673041157894737,9.699755,0.2666666666666666,0.8260869565217391,0.6052631578947368,0.5,0.8947368421052632,0.8260869565217391,0.6052631578947368,0.1052631578947368,-1.1735171,-3.0882028947368423,11.28475678947368,22.079890526315797,5.961887810526316,42.22120789473685,2300.842105263158,11,94.64444444444445,104.5,104.5,2.111111111111111,1,0.0909090909090909,6,0.5454545454545454,1.0,0.9090909090909092,0.2894736842105263,0.6470588235294118,0.8181818181818182,0.4473684210526316,0.1666666666666666,0.0,0.1578947368421052,0.0,0.0,0.1052631578947368,0.7272727272727273,0.875,0.2894736842105263,0.5,0.6666666666666666,0.1578947368421052
21618,664761,Alec Bohm,Alec Bohm,2026,PHI,174,1.017543859,0.184397163,0.411347517,0.404255319,0.087719298,0.122807017,0.068965517,0.0,0.36879433,0.37588652,0.25531915,0.09929078,0.4964539,0.40425532,"FA,FC,FS,SI,CH,SL,CU,KC",603,0.2158273381294964,0.4172661870503597,0.3669064748201439,0.2156862745098039,0.1372549019607843,386,217,603,3.217010346434495,3.838361223880597,8.395189567164183,0.3133333333333333,0.6006600660066007,0.4577114427860697,0.7659574468085106,0.9395604395604396,0.8804347826086957,0.5024875621890548,0.0547263681592039,-0.4606709000000003,-0.0763965008291874,6.385487351077942,29.004693366500828,4.571209755555556,35.27319347097844,2248.691542288557,142,90.11843971631204,104.4,109.4,14.156028368794326,11,0.0774647887323943,56,0.3943661971830985,0.7161290322580646,0.945945945945946,0.2570480928689884,0.5054545454545455,0.8776978417266187,0.4560530679933665,0.2,0.6666666666666666,0.1990049751243781,0.0377358490566037,0.0,0.087893864013267,0.5441176470588235,0.918918918918919,0.2255389718076285,0.4676258992805755,0.8307692307692308,0.2305140961857379
27615,676475,Alec Burleson,Alec Burleson,2026,STL,194,1.727272727,0.2,0.506666666,0.293333333,0.068181818,0.068181818,0.026315789,0.0,0.51333333,0.30666667,0.18,0.08666667,0.54,0.37333333,"FA,FC,FS,SI,CH,SL,CU,KC",671,0.2,0.5,0.3,0.1777777777777777,0.0666666666666666,457,214,671,2.0593367228017887,3.6061862845752617,8.08387809538003,0.3765060240963855,0.7050147492625368,0.5424739195230999,0.664,0.8535564853556485,0.7884615384615384,0.5052160953800298,0.1147540983606557,13.335175600000005,1.9873585096870348,5.981004550819671,29.543453606557385,2.513634956929955,35.89593692995528,2343.497764530551,151,90.508,105.3,112.0,9.613333333333332,10,0.0662251655629139,65,0.4304635761589404,0.7611111111111111,0.8759124087591241,0.2682563338301043,0.65,0.8106508875739645,0.3874813710879284,0.3333333333333333,0.5918367346938775,0.2190760059612518,0.1071428571428571,0.1111111111111111,0.1251862891207153,0.684931506849315,0.89,0.217585692995529,0.6052631578947368,0.6956521739130435,0.1698956780923994
22581,672386,Alejandro Kirk,Alejandro Kirk,2026,TOR,90,1.526315789,0.261538461,0.446153846,0.292307692,0.105263157,0.105263157,0.068965517,0.0,0.24615385,0.4,0.35384615,0.13846154,0.53846154,0.32307692,"FA,FC,FS,SI,CH,SL,CU,KC",333,0.34375,0.453125,0.203125,0.2307692307692307,0.1538461538461538,209,124,333,3.592298523123122,4.307664092702703,8.88768788888889,0.2228915662650602,0.5868263473053892,0.4054054054054054,0.5135135135135135,0.9183673469387756,0.8074074074074075,0.5015015015015015,0.078078078078078,-1.158399999999999,-0.3478678678678675,7.1940755084084085,28.043427207207213,5.213641800600601,38.41087942942943,2153.6486486486488,65,89.4125,104.4,108.8,9.671875,2,0.0307692307692307,24,0.3692307692307692,0.6097560975609756,0.96,0.2462462462462462,0.4551724137931034,0.803030303030303,0.4354354354354354,0.2077922077922078,0.5,0.2312312312312312,0.1034482758620689,0.0,0.087087087087087,0.5308641975308642,0.8837209302325582,0.2432432432432432,0.359375,0.6521739130434783,0.1921921921921922
27915,696030,Alejandro Osuna,Alejandro Osuna,2026,TEX,48,3.333333333,0.277777777,0.555555555,0.166666666,0.166666666,0.0,0.1,0.0,0.21621622,0.48648649,0.2972973,0.2972973,0.51351351,0.18918919,"FA,FC,SI,CH,SL,CU",149,0.2432432432432432,0.5675675675675675,0.1891891891891892,0.2857142857142857,0.0,106,43,149,3.176745261744967,4.181018510067114,8.62182089932886,0.3043478260869565,0.625,0.4765100671140939,0.6666666666666666,0.9,0.8309859154929577,0.5369127516778524,0.0805369127516778,0.0301078000000001,0.0202065771812081,6.975052522147651,28.765797181208043,4.481450442953021,33.130508859060406,2248.590604026845,37,83.0029411764706,104.9,108.2,-3.6,0,0.0,7,0.1891891891891892,0.6744186046511628,0.8620689655172413,0.2885906040268456,0.5079365079365079,0.875,0.4228187919463087,0.2,1.0,0.1677852348993288,0.2777777777777778,0.2,0.1208053691275167,0.5641025641025641,1.0,0.261744966442953,0.4166666666666667,0.6,0.1610738255033557
23792,677950,Alek Thomas,Alek Thomas,2026,2 Tms,18,1.0,0.166666666,0.416666666,0.416666666,0.2,0.0,0.0,1.0,0.23076923,0.23076923,0.53846154,0.07692308,0.46153846,0.46153846,"FA,FC,SI,SL",50,0.1538461538461538,0.4615384615384615,0.3846153846153846,0.2,0.0,37,13,50,2.31888412,4.0315702600000005,7.880059799999999,0.4482758620689655,0.6666666666666666,0.54,0.4615384615384615,0.9285714285714286,0.7037037037037037,0.42,0.16,0.4784168999999997,0.9568337999999994,6.71660232,27.042777999999995,2.9699198,35.519172000000005,2398.82,13,90.04166666666667,100.8,104.5,16.416666666666668,1,0.0769230769230769,5,0.3846153846153846,0.6428571428571429,1.0,0.28,0.5555555555555556,0.8,0.36,0.5833333333333334,0.2857142857142857,0.24,0.1666666666666666,0.0,0.12,0.5833333333333334,0.7142857142857143,0.24,0.5,1.0,0.12
17678,608324,Alex Bregman,Alex Bregman,2026,CHC,165,0.74074074,0.182608695,0.347826086,0.469565217,0.166666666,0.129629629,0.1,0.0,0.39130435,0.37391304,0.23478261,0.14782609,0.43478261,0.4173913,"FA,FC,FS,SI,CH,SL,CU,KC",664,0.219298245614035,0.3245614035087719,0.4561403508771929,0.2692307692307692,0.1346153846153846,398,266,664,3.308016153463856,3.298140001957831,8.437558894578316,0.1918238993710692,0.5809248554913294,0.394578313253012,0.7213114754098361,0.9154228855721394,0.8702290076335878,0.5210843373493976,0.0512048192771084,-9.380080999999995,-1.4126628012048188,5.448886715421692,29.866746701807227,4.722956192771084,36.20857063253013,2190.9623493975905,115,89.10263157894738,102.1,106.4,20.408695652173915,7,0.0608695652173913,44,0.3826086956521739,0.6573033707865169,0.9487179487179488,0.2680722891566265,0.4134275618374558,0.8632478632478633,0.4262048192771084,0.1862068965517241,0.5555555555555556,0.216867469879518,0.0172413793103448,1.0,0.0873493975903614,0.5,0.8933333333333333,0.2259036144578313,0.3157894736842105,0.8095238095238095,0.2003012048192771
19296,669743,Alex Call,Alex Call,2026,LAD,72,1.176470588,0.195652173,0.434782608,0.369565217,0.176470588,0.058823529,0.05,0.0,0.43478261,0.39130435,0.17391304,0.17391304,0.58695652,0.23913043,"FA,FC,FS,SI,CH,SL,CU",315,0.2666666666666666,0.4222222222222222,0.3111111111111111,0.3571428571428571,0.0714285714285714,201,114,315,3.5262635177777777,4.535723988571427,8.494625628571425,0.2530864197530864,0.6862745098039216,0.4634920634920635,0.6585365853658537,0.8666666666666667,0.8082191780821918,0.4857142857142857,0.0888888888888888,-4.5283822,-1.4375816507936507,7.588485238095239,26.57902012698413,5.097292434920632,35.61390085714286,2215.095238095238,46,86.42888888888889,99.5,109.4,13.066666666666666,1,0.0217391304347826,9,0.1956521739130435,0.7088607594936709,0.8571428571428571,0.2476190476190476,0.5238095238095238,0.8636363636363636,0.3968253968253968,0.2894736842105263,0.5454545454545454,0.2412698412698412,0.0588235294117647,0.5,0.1079365079365079,0.5633802816901409,0.9,0.2253968253968254,0.4727272727272727,0.8076923076923077,0.1714285714285714
31665,690976,Alex Freeland,Alex Freeland,2026,LAD,34,0.875,0.117647058,0.411764705,0.470588235,0.125,0.0,0.142857142,0.0,0.35294118,0.35294118,0.29411765,0.17647059,0.70588235,0.11764706,"FA,FC,FS,SI,CH,SL,CU",147,0.1764705882352941,0.4117647058823529,0.4117647058823529,0.1428571428571428,0.0,93,54,147,2.508416185034013,3.587106828571429,7.98736,0.1917808219178082,0.6081081081081081,0.4013605442176871,0.3571428571428571,0.6666666666666666,0.5932203389830508,0.5034013605442177,0.1632653061224489,5.0665607,3.446639931972789,5.947941040136055,30.79836734693877,3.3038761829931977,39.09590408163266,2152.1292517006805,17,84.75882352941177,99.6,101.2,19.0,0,0.0,2,0.1176470588235294,0.6904761904761905,0.7931034482758621,0.2857142857142857,0.3968253968253968,0.36,0.4285714285714285,0.1515151515151515,0.6,0.2244897959183673,0.0,0.0,0.0612244897959183,0.4827586206896552,0.4285714285714285,0.1972789115646258,0.3235294117647059,0.2727272727272727,0.2312925170068027
17276,656577,Alex Jackson,Alex Jackson,2026,MIN,24,0.666666666,0.09090909,0.363636363,0.545454545,0.0,0.0,0.25,0.0,0.36363636,0.27272727,0.36363636,0.27272727,0.36363636,0.36363636,"FA,FC,FS,SI,CH,SL,CU",82,0.3636363636363636,0.2727272727272727,0.3636363636363636,0.0,0.0,60,22,82,3.546685319512195,4.1750509231707325,8.629910243902438,0.4285714285714285,0.7,0.5609756097560976,0.4444444444444444,0.7142857142857143,0.6086956521739131,0.4878048780487805,0.2195121951219512,2.920034900000001,3.561018170731709,6.9647362195121945,28.92459,5.133273878048781,42.24403170731707,2118.170731707317,11,86.35999999999999,98.9,107.1,16.3,0,0.0,4,0.3636363636363636,0.7777777777777778,0.7142857142857143,0.2195121951219512,0.5833333333333334,0.7142857142857143,0.4390243902439024,0.5,0.375,0.1951219512195122,0.25,0.0,0.1463414634146341,0.6,0.75,0.2439024390243902,0.5625,0.6666666666666666,0.1951219512195122
18551,645305,Ali Sánchez,Ali Sanchez,2026,NYY,40,0.9,0.24,0.36,0.4,0.2,0.1,0.111111111,0.0,0.37037037,0.25925926,0.37037037,0.2962963,0.55555556,0.14814815,"FA,FC,FS,SI,CH,SL,CU",154,0.2916666666666667,0.3333333333333333,0.375,0.4444444444444444,0.1111111111111111,101,53,154,4.312067527922078,3.9730411279220794,9.081478753246753,0.2916666666666667,0.6219512195121951,0.4675324675324675,0.6190476190476191,0.8235294117647058,0.7638888888888888,0.5324675324675324,0.1103896103896103,0.2263428999999995,0.1469759090909087,6.615378240909092,28.29707467532467,6.481849025974025,37.20691818181819,2163.5974025974024,27,82.52799999999999,102.6,106.6,20.72,1,0.037037037037037,8,0.2962962962962963,0.7391304347826086,0.8235294117647058,0.2987012987012987,0.5081967213114754,0.7419354838709677,0.3961038961038961,0.21875,0.5714285714285714,0.2077922077922078,0.0,0.0,0.0909090909090909,0.5588235294117647,0.7894736842105263,0.2207792207792207,0.4444444444444444,0.6666666666666666,0.1753246753246753
27604,675961,Alika Williams,Alika Williams,2026,ATH,98,0.903225806,0.157142857,0.4,0.442857142,0.032258064,0.064516129,0.035714285,0.0,0.38888889,0.34722222,0.26388889,0.13888889,0.5,0.36111111,"FA,FC,FS,SI,CH,SL,CU,KC",365,0.2285714285714285,0.4,0.3714285714285714,0.1538461538461538,0.0769230769230769,247,118,365,3.876724332328767,4.104461680000001,8.921154189041097,0.3575418994413408,0.7204301075268817,0.5424657534246575,0.640625,0.8955223880597015,0.8131313131313131,0.5095890410958904,0.1013698630136986,-1.539845,-0.4218753424657534,6.842657375342467,28.938187972602737,5.714793341917809,38.60876876712328,2196.06301369863,72,83.59000000000005,100.4,107.6,17.8,1,0.0138888888888888,20,0.2777777777777778,0.7849462365591398,0.8904109589041096,0.2547945205479452,0.569620253164557,0.8666666666666667,0.4328767123287671,0.3947368421052631,0.6,0.2082191780821917,0.131578947368421,0.0,0.1041095890410958,0.6705882352941176,0.912280701754386,0.2328767123287671,0.4520547945205479,0.7878787878787878,0.2
