id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,year,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate
691406,"Caminero, Junior",248,0.9429657794676806,199,80.167806774,0.8991935483870969,0.2814070351758794,0.2258064516129032,0.2512562814070351,0.2016129032258064,8.684121008,1,-3.993386894489314,49,0.1975806451612903,103,0.4153225806451613,2026.0,113.0,0.4690265486725664,0.5309734513274338,0.2035398230088497,0.247787610619469,0.079646017699115,0.4513274336283187,0.3628318584070794,0.1858407079646018,0.2212389380530974,0.2123893805309734,0.0353982300884955,0.2300884955752212,0.1504424778761059,0.1504424778761063
519317,"Stanton, Giancarlo",50,0.9433962264150944,29,79.4531498,0.8999999999999999,0.3103448275862069,0.18,0.2758620689655172,0.16,8.5899902,0,-2.225463890982805,21,0.42,16,0.32,2026.0,16.0,0.375,0.625,0.3125,0.25,0.0625,0.5625,0.25,0.1875,0.25,0.125,0.0,0.3124999999999999,0.125,0.1875
691023,"Walker, Jordan",272,0.9251700680272108,202,79.066260037,0.8566176470588238,0.3217821782178218,0.2389705882352941,0.2673267326732673,0.1985294117647058,8.290340294,6,7.04897968419838,70,0.2573529411764705,103,0.3786764705882353,2026.0,109.0,0.3761467889908257,0.6238532110091745,0.2385321100917432,0.3394495412844037,0.0458715596330275,0.3394495412844036,0.3944954128440367,0.2660550458715596,0.2110091743119266,0.146788990825688,0.018348623853211,0.1284403669724769,0.2477064220183486,0.2477064220183485
606466,"Marte, Ketel",213,0.9102564102564102,172,78.793860563,0.8075117370892018,0.3430232558139535,0.2769953051643192,0.2616279069767442,0.2112676056338028,8.12558892,1,5.532614426833156,41,0.1924882629107981,101,0.4741784037558685,2026.0,110.0,0.4181818181818181,0.5818181818181819,0.2636363636363635,0.2636363636363638,0.0545454545454545,0.5727272727272725,0.2727272727272727,0.1545454545454546,0.2727272727272729,0.0999999999999999,0.0454545454545454,0.2999999999999996,0.1727272727272727,0.1090909090909091
701358,"Smith, Cam",254,0.9039145907473308,188,78.096632874,0.7874015748031495,0.2180851063829787,0.1614173228346456,0.1595744680851064,0.1181102362204724,7.823968976,2,-8.019764381329018,66,0.2598425196850393,80,0.3149606299212598,2026.0,86.0,0.4069767441860465,0.5930232558139537,0.3255813953488373,0.2093023255813954,0.0581395348837209,0.3837209302325584,0.3837209302325582,0.2325581395348837,0.1860465116279069,0.1627906976744186,0.0581395348837209,0.1976744186046514,0.2209302325581396,0.1744186046511627
695491,"Báez, Joshua",59,0.9365079365079364,40,78.059541017,0.7457627118644069,0.25,0.1694915254237288,0.15,0.1016949152542373,7.753954746,1,3.371071124277184,19,0.3220338983050847,17,0.288135593220339,2026.0,20.0,0.3,0.7000000000000001,0.35,0.2,0.15,0.3999999999999999,0.35,0.25,0.2,0.05,0.0499999999999999,0.1999999999999999,0.3,0.2
673357,"Robert Jr., Luis",125,0.9398496240601504,96,78.05064912,0.7680000000000001,0.25,0.192,0.15625,0.12,7.88533496,2,-2.7986834587578167,29,0.232,46,0.368,2026.0,46.0,0.4782608695652174,0.5217391304347826,0.2826086956521739,0.1739130434782609,0.0652173913043478,0.4782608695652173,0.391304347826087,0.1304347826086956,0.3260869565217391,0.1521739130434783,0.0,0.1521739130434782,0.2391304347826087,0.1304347826086956
701762,"Kurtz, Nick",236,0.8872180451127819,147,77.921105763,0.7584745762711866,0.2244897959183673,0.1398305084745762,0.1904761904761904,0.1186440677966101,7.717164322,6,-4.925927333400349,89,0.3771186440677966,63,0.2669491525423729,2026.0,76.0,0.4210526315789473,0.5789473684210528,0.3289473684210527,0.2236842105263158,0.0263157894736842,0.368421052631579,0.3552631578947369,0.2763157894736843,0.2105263157894737,0.118421052631579,0.0921052631578947,0.1578947368421052,0.2368421052631579,0.1842105263157896
666176,"Adell, Jo",331,0.9323943661971832,241,77.852649456,0.7583081570996979,0.2448132780082987,0.1782477341389728,0.1701244813278008,0.1238670694864048,7.719151269,10,3.473875423579173,90,0.2719033232628399,110,0.3323262839879154,2026.0,114.0,0.3859649122807018,0.6140350877192982,0.3157894736842105,0.219298245614035,0.0789473684210526,0.3859649122807018,0.3333333333333331,0.2807017543859648,0.2280701754385965,0.131578947368421,0.0263157894736842,0.1578947368421053,0.201754385964912,0.2543859649122805
665856,"Camargo, Jair",4,1.0,2,77.7574275,0.75,0.5,0.25,0.5,0.25,7.9414,0,0.3653380015250553,2,0.5,1,0.25,2026.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
672016,"Clarke, Denzel",48,0.9056603773584906,34,77.5316325,0.7708333333333333,0.3235294117647059,0.2291666666666666,0.1764705882352941,0.125,7.443750833,2,-3.2741140459395752,14,0.2916666666666667,20,0.4166666666666667,2026.0,22.0,0.7727272727272727,0.2272727272727273,0.0,0.1818181818181818,0.0454545454545454,0.5,0.2727272727272727,0.2272727272727272,0.409090909090909,0.2272727272727272,0.1363636363636364,0.0909090909090909,0.0454545454545455,0.0909090909090908
575929,"Contreras, Willson",220,0.8979591836734694,159,77.471578409,0.7454545454545456,0.2830188679245283,0.2045454545454545,0.1761006289308176,0.1272727272727272,7.986787091,4,4.230350823961208,61,0.2772727272727273,78,0.3545454545454545,2026.0,84.0,0.3333333333333335,0.6666666666666667,0.3452380952380953,0.1547619047619047,0.1666666666666667,0.5119047619047618,0.25,0.2380952380952381,0.2023809523809524,0.0714285714285714,0.0595238095238095,0.3095238095238093,0.1785714285714286,0.1785714285714286
703607,"Bolte, Henry",221,0.9208333333333332,151,77.298609548,0.7873303167420813,0.2649006622516556,0.1809954751131221,0.2185430463576159,0.1493212669683258,7.666321719,7,-0.805685204987634,70,0.3167420814479638,65,0.2941176470588235,2026.0,77.0,0.5584415584415584,0.4415584415584417,0.1818181818181818,0.2337662337662338,0.0259740259740259,0.2857142857142857,0.4805194805194805,0.2337662337662337,0.1948051948051948,0.2467532467532468,0.1168831168831169,0.0909090909090908,0.2337662337662337,0.1168831168831167
665833,"Cruz, Oneil",165,0.873015873015873,106,77.072169455,0.6969696969696969,0.3962264150943396,0.2545454545454545,0.2735849056603773,0.1757575757575757,7.596971273,4,2.2874879833887705,59,0.3575757575757576,50,0.303030303030303,2026.0,56.0,0.4821428571428571,0.5178571428571429,0.1785714285714286,0.3214285714285714,0.0178571428571428,0.4821428571428571,0.375,0.1428571428571428,0.2499999999999999,0.1607142857142857,0.0714285714285714,0.2321428571428571,0.2142857142857142,0.0714285714285714
621550,"Wisdom, Patrick",43,0.9148936170212766,24,77.019074419,0.7441860465116278,0.2916666666666667,0.1627906976744186,0.125,0.0697674418604651,8.139637674,1,-3.8595535482887,19,0.4418604651162791,9,0.2093023255813953,2026.0,10.0,0.3999999999999999,0.6,0.4,0.0,0.1999999999999999,0.3999999999999999,0.2,0.4,0.3,0.0,0.1,0.0999999999999999,0.2,0.3
668723,"Vilade, Ryan",264,0.9134948096885812,205,76.967556212,0.6931818181818181,0.2390243902439024,0.1856060606060606,0.1512195121951219,0.1174242424242424,7.492775758,3,-2.795037691837136,59,0.2234848484848484,87,0.3295454545454545,2026.0,102.0,0.3333333333333332,0.6666666666666667,0.3333333333333333,0.215686274509804,0.1176470588235294,0.392156862745098,0.4019607843137254,0.2058823529411765,0.1470588235294118,0.1470588235294118,0.0392156862745098,0.2450980392156861,0.2549019607843136,0.1666666666666667
656941,"Schwarber, Kyle",369,0.9,268,76.906773117,0.7371273712737124,0.2425373134328358,0.1761517615176151,0.1567164179104477,0.1138211382113821,7.482551599,10,2.505687020850764,101,0.2737127371273712,116,0.3143631436314363,2026.0,127.0,0.3307086614173226,0.6692913385826772,0.2913385826771655,0.3149606299212596,0.0629921259842519,0.5118110236220473,0.3385826771653543,0.1496062992125984,0.2125984251968504,0.1181102362204724,0.0,0.2992125984251969,0.2204724409448818,0.1496062992125984
669003,"Mitchell, Garrett",147,0.8647058823529412,102,76.89532966,0.7687074829931971,0.3431372549019608,0.238095238095238,0.2745098039215686,0.1904761904761904,7.28911483,4,-3.1490323528800785,45,0.3061224489795918,58,0.3945578231292517,2026.0,65.0,0.6307692307692307,0.3692307692307693,0.0923076923076923,0.2615384615384616,0.0153846153846153,0.3538461538461539,0.4153846153846155,0.2307692307692308,0.2769230769230769,0.2307692307692308,0.1230769230769231,0.076923076923077,0.1846153846153846,0.1076923076923077
677594,"Rodríguez, Julio",321,0.9093484419263456,229,76.875785981,0.6822429906542059,0.2794759825327511,0.1993769470404984,0.1790393013100436,0.1277258566978193,7.775666636,3,-7.672871463432782,92,0.2866043613707165,111,0.3457943925233644,2026.0,114.0,0.3596491228070175,0.6403508771929826,0.3596491228070175,0.2368421052631579,0.043859649122807,0.3421052631578947,0.4473684210526314,0.2105263157894737,0.1842105263157895,0.1491228070175438,0.0263157894736842,0.1578947368421052,0.2982456140350876,0.1842105263157895
695506,"Caglianone, Jac",251,0.8256578947368421,191,76.857350359,0.7051792828685258,0.2984293193717277,0.2270916334661354,0.2041884816753926,0.1553784860557769,7.809754382,10,3.85929025170238,60,0.2390438247011952,98,0.3904382470119522,2026.0,105.0,0.4952380952380952,0.5047619047619049,0.2476190476190475,0.2380952380952382,0.019047619047619,0.438095238095238,0.3904761904761905,0.1714285714285714,0.2571428571428571,0.2095238095238095,0.0285714285714285,0.1809523809523808,0.1809523809523809,0.1428571428571429
669288,"Johnson, Daniel",2,0.6666666666666666,2,76.80715,0.5,1.0,1.0,0.5,0.5,7.85438,0,0.0990387898990332,0,0.0,2,1.0,2026.0,3.0,0.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
592450,"Judge, Aaron",125,0.9398496240601504,82,76.76897608,0.7279999999999999,0.2926829268292683,0.192,0.2195121951219512,0.144,8.18406704,2,0.4317573772478486,43,0.344,37,0.296,2026.0,38.0,0.4473684210526315,0.5526315789473684,0.2894736842105262,0.2105263157894737,0.0526315789473684,0.5,0.2368421052631579,0.2631578947368421,0.2894736842105264,0.0789473684210526,0.0789473684210526,0.2105263157894736,0.1578947368421053,0.1842105263157895
665487,"Tatis Jr., Fernando",213,0.9141630901287554,159,76.672295962,0.6713615023474178,0.3333333333333333,0.2488262910798122,0.2389937106918239,0.1784037558685446,7.290138732,6,-1.1024304966527283,54,0.2535211267605634,91,0.4272300469483568,2026.0,102.0,0.5392156862745097,0.4607843137254903,0.1568627450980392,0.2647058823529413,0.0392156862745098,0.3823529411764705,0.3921568627450981,0.2254901960784312,0.2647058823529411,0.2254901960784313,0.0490196078431372,0.1176470588235294,0.1666666666666667,0.176470588235294
804606,"Griffin, Konnor",118,0.9147286821705426,82,76.514468305,0.652542372881356,0.2439024390243902,0.1694915254237288,0.2073170731707317,0.1440677966101695,7.938529831,2,-2.944121627362492,36,0.3050847457627119,41,0.3474576271186441,2026.0,42.0,0.3809523809523809,0.619047619047619,0.2619047619047619,0.2857142857142856,0.0714285714285714,0.5476190476190474,0.3095238095238095,0.1428571428571428,0.2380952380952381,0.119047619047619,0.0238095238095238,0.3095238095238093,0.1904761904761904,0.119047619047619
656305,"Chapman, Matt",146,0.9182389937106918,114,76.442786849,0.6438356164383561,0.2456140350877192,0.1917808219178082,0.1403508771929824,0.1095890410958904,7.355470959,1,-2.5962684214244574,32,0.2191780821917808,54,0.3698630136986301,2026.0,60.0,0.3333333333333334,0.6666666666666667,0.2166666666666666,0.3166666666666667,0.1333333333333333,0.4166666666666667,0.3166666666666667,0.2666666666666668,0.1833333333333333,0.0833333333333333,0.0666666666666666,0.2333333333333333,0.2333333333333334,0.2000000000000001
665489,"Guerrero Jr., Vladimir",227,0.930327868852459,185,76.414826344,0.643171806167401,0.3027027027027027,0.2466960352422907,0.2054054054054054,0.1674008810572687,7.651283128,2,-6.572293987979789,42,0.185022026431718,95,0.4185022026431718,2026.0,101.0,0.4356435643564355,0.5643564356435646,0.2772277227722773,0.2277227722772278,0.0594059405940594,0.3267326732673267,0.3465346534653464,0.3267326732673267,0.2178217821782179,0.1287128712871286,0.0891089108910891,0.1089108910891087,0.2178217821782177,0.2376237623762375
695578,"Wood, James",291,0.8871951219512195,204,76.308849553,0.6357388316151203,0.3186274509803921,0.2233676975945017,0.2401960784313725,0.1683848797250859,7.315884399,17,-0.0054749316933443,87,0.2989690721649484,100,0.3436426116838488,2026.0,108.0,0.546296296296296,0.4537037037037038,0.2037037037037037,0.2037037037037037,0.0462962962962963,0.3518518518518518,0.3796296296296297,0.2685185185185185,0.2592592592592592,0.212962962962963,0.074074074074074,0.0925925925925926,0.1666666666666667,0.1944444444444444
691723,"Mayo, Coby",246,0.9498069498069498,175,76.288565122,0.6382113821138212,0.3028571428571429,0.2154471544715447,0.2114285714285714,0.1504065040650406,7.399349512,2,8.821545805066561,71,0.2886178861788618,81,0.3292682926829268,2026.0,94.0,0.297872340425532,0.7021276595744683,0.4148936170212767,0.223404255319149,0.0638297872340425,0.5106382978723403,0.297872340425532,0.1914893617021277,0.2021276595744681,0.0744680851063829,0.0212765957446808,0.308510638297872,0.2234042553191491,0.1702127659574468
682987,"Jones, Spencer",77,0.8461538461538461,54,76.284987662,0.5844155844155844,0.2222222222222222,0.1558441558441558,0.1481481481481481,0.1038961038961039,7.831050649,0,6.226443322637637,23,0.2987012987012987,24,0.3116883116883117,2026.0,28.0,0.2857142857142858,0.7142857142857143,0.2142857142857142,0.4285714285714286,0.0714285714285714,0.25,0.3571428571428571,0.3928571428571429,0.1428571428571429,0.1071428571428571,0.0357142857142857,0.1071428571428571,0.25,0.3571428571428572
666624,"Morel, Christopher",62,0.8857142857142857,38,76.23832129,0.629032258064516,0.2631578947368421,0.1612903225806451,0.131578947368421,0.0806451612903225,7.992997419,0,-3.7699680085017033,24,0.3870967741935484,18,0.2903225806451613,2026.0,22.0,0.3636363636363636,0.6363636363636364,0.2272727272727272,0.2272727272727272,0.1818181818181818,0.5,0.3181818181818182,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.0,0.2272727272727272,0.2272727272727273,0.1818181818181818
677595,"Mauricio, Ronny",16,0.8888888888888888,8,76.21344375,0.6875,0.5,0.25,0.375,0.1875,7.9293225,0,-1.8251688119089111,8,0.5,5,0.3125,2026.0,6.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.5
