Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Paul GoldschmidtNo new player Notes NYY - 1B L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Cash is King,104,227,312,5%,87/341,44,18,51,1,0.774,
"Nathaniel LoweNo new player Notes CLE - 1B Top 1, Delay @ KC",@ KC,,Stealth Bomber,123,511,313,2%,94/374,38,17,60,0,0.764,
Josh JungPlayer Note TEX - 3B 8:10 pm @ MIN,@ MIN,,FA,103,198,314,23%,119/398,53,12,42,1,0.825,
"Griffin ConinePlayer Note MIA - 1B,OF Bot 1, 0-0 vs ATL",ATL,,FA,91,1248,315,8%,70/273,43,17,40,4,0.82,
"Owen CaissieIL10No new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,108,367,316,3%,64/291,45,14,58,5,0.7,
"Salvador PerezPlayer Note KC - C,1B  Top 1, Delay vs CLE",CLE,,Rafael Devers,149,153,329,74%,130/569,49,20,75,1,0.65,
"Nasim NuñezNew Player Note WSH - 2B,SS Bot 2, 2-1 vs NYM",NYM,,No Longer Rowdy,144,560,331,10%,89/426,54,1,36,49,0.533,
"Vaughn GrissomPlayer Note LAA - 1B,2B,3B 10:10 pm @ SEA",@ SEA,,FA,116,1217,332,3%,99/410,46,13,70,1,0.698,
"Matt McLainNew Player Note CIN - 2B,SS Bot 1, 0-2 @ TOR",@ TOR,,Joey Spierer's Team,132,299,333,27%,81/431,58,15,40,19,0.615,
"Spencer SteerIL60Player Note CIN - 1B,2B,OF Bot 1, 0-2 @ TOR",@ TOR,,Joey Spierer's Team,98,218,339,13%,81/340,54,16,40,3,0.74,
"Steven KwanPlayer Note CLE - OF Top 1, Delay @ KC",@ KC,,Rafael Devers,149,343,341,60%,149/532,78,3,31,10,0.722,
"Ildemaro VargasPlayer Note AZ - 1B,2B 9:40 pm @ SD",@ SD,,FA,139,323,345,8%,115/451,62,9,67,3,0.678,
Randal GrichukPlayer Note CWS - OF 7:40 pm vs COL,COL,,FA,114,639,354,1%,74/255,40,14,43,0,0.885,
"Brett BatyPlayer Note NYM - 1B,2B,3B,OF Bot 2, 1-2 @ WSH",@ WSH,,FA,140,316,356,4%,98/411,52,11,56,5,0.69,
"Carson KellyNew Player Note CHC - C L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,119,394,358,9%,98/377,57,10,58,0,0.718,
"Jake MangumPlayer Note PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,130,270,367,6%,117/425,56,5,32,23,0.697,
"Joey OrtizPlayer Note MIL - 3B,SS 7:40 pm vs STL",STL,,FA,133,508,369,5%,98/368,49,9,47,9,0.723,
"Jonny DeLucaPlayer Note TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,109,597,375,1%,89/338,41,9,47,17,0.711,
"Gavin SheetsIL10New Player Note SD - 1B,OF 9:40 pm vs AZ",AZ,,Fightin Farmers,123,692,376,4%,75/356,46,16,46,4,0.701,
"Esteury RuizPlayer Note MIA - OF Bot 1, 0-0 vs ATL",ATL,,Fightin Farmers,107,1495,378,2%,45/207,37,6,16,33,0.704,
"Jeff McNeilNew Player Note ATH - 1B,2B,OF 9:40 pm vs HOU",HOU,,Joey Spierer's Team,141,472,379,19%,125/468,51,9,59,8,0.69,
"Michael MasseyPlayer Note KC - 2B,OF Top 1, Delay vs CLE",CLE,,Stealth Bomber,129,565,386,3%,113/414,49,13,49,3,0.737,
"Tyler StephensonNew Player Note CIN - C Bot 1, 0-2 @ TOR",@ TOR,,Cash is King,129,337,389,13%,99/407,40,15,54,0,0.733,
"Andrés GiménezNew Player Note TOR - 2B,SS Bot 1, 2-0 vs CIN",CIN,,Rafael Devers,145,371,393,11%,113/462,37,9,58,20,0.65,
Nathan ChurchNew Player Note STL - OF 7:40 pm @ MIL,@ MIL,,FA,139,679,400,2%,107/426,53,10,50,10,0.666,
"Adley RutschmanPlayer Note BOS - C W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,NY Bombsquad,97,113,406,58%,85/358,43,12,57,0,0.726,
"Michael ConfortoPlayer Note CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,111,1470,408,1%,63/262,32,15,44,1,0.807,
"Marcus SemienPlayer Note NYM - 2B Bot 2, 1-2 @ WSH",@ WSH,,Rafael Devers,137,285,409,32%,105/486,55,15,49,10,0.625,
"Samuel BasalloIL7Player Note BAL - C,1B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,The Eds,112,126,412,25%,80/360,40,18,54,0,0.697,
Drew GilbertPlayer Note SF - OF 10:15 pm vs LAD,LAD,,Trust The Process,131,1469,420,1%,81/337,52,11,43,2,0.727,
"Konnor GriffinPlayer Note PIT - SS,OF  Top 2, 0-0 @ DET",@ DET,,NY Bombsquad,77,145,424,67%,81/300,42,5,31,23,0.715,
"Victor Mesa Jr.Player Note TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,76,1518,429,21%,56/226,34,14,31,9,0.806,
"Leody TaverasPlayer Note BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,138,1371,437,1%,92/425,58,8,54,11,0.625,
"Dylan CrewsPlayer Note WSH - OF Bot 2, 2-1 vs NYM",NYM,,Joe Byron,106,370,446,28%,88/394,51,12,43,11,0.656,
"Keibert RuizPlayer Note WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,103,661,454,6%,92/325,44,10,47,2,0.769,
"David HamiltonNo new player Notes MIL - 2B,3B,SS 7:40 pm vs STL",STL,,FA,118,645,462,2%,79/330,47,4,26,30,0.636,
"Colton CowserNo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,141,329,464,4%,75/337,40,13,40,10,0.678,
Taylor WardNo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,Ranger danger,142,92,466,48%,111/497,70,7,35,4,0.668,
"Heliot RamosPlayer Note NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,110,235,473,31%,96/397,46,13,45,4,0.708,
"Spencer JonesPlayer Note NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,NY Bombsquad,84,1526,474,28%,62/253,34,11,39,10,0.749,
"Colt KeithIL10Player Note DET - 1B,2B,3B Top 2, 0-0 vs PIT",PIT,,FA,140,322,487,7%,99/384,51,10,36,6,0.728,
"Taylor WallsPlayer Note TB - SS Bot 3, 2-0 @ PHI",@ PHI,,FA,123,1179,488,1%,81/364,59,2,36,21,0.607,
"Spencer HorwitzPlayer Note PIT - 1B Top 2, 0-0 @ DET",@ DET,,Trust The Process,111,214,494,4%,93/376,44,10,48,1,0.712,
"Gleyber TorresNew Player Note DET - 2B  Top 2, 0-0 vs PIT",PIT,,No Longer Rowdy,96,243,502,40%,93/358,57,8,38,0,0.727,
Evan CarterNo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,138,361,505,2%,74/383,51,9,39,17,0.601,
"Jared YoungIL7Player Note NYM - 1B,OF Bot 2, 1-2 @ WSH",@ WSH,,No Longer Rowdy,103,1446,507,3%,82/308,46,9,39,3,0.759,
Masyn WinnPlayer Note STL - SS 7:40 pm @ MIL,@ MIL,,Rafael Devers,135,244,512,30%,109/467,54,5,56,10,0.628,
"Mike YastrzemskiPlayer Note ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,136,1218,517,2%,81/351,50,12,41,1,0.705,
"Lane ThomasIL10Player Note ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,118,1582,518,1%,73/326,37,11,40,9,0.701,
"J.P. CrawfordNo new player Notes SEA - 3B,SS 10:10 pm vs LAA",LAA,,FA,114,369,519,8%,88/404,53,13,38,1,0.678,
"Hao-Yu LeePlayer Note DET - 2B,3B Top 2, 0-0 vs PIT",PIT,,NY Bombsquad,111,1472,524,19%,85/318,39,10,46,2,0.755,
"Troy JohnstonPlayer Note COL - 1B,OF 7:40 pm @ CWS",@ CWS,,FA,126,238,537,3%,110/390,41,4,50,4,0.754,
Cooper PrattDTDNew Player Note MIL - SS 7:40 pm vs STL,STL,,FA,71,1458,545,7%,62/220,33,3,34,18,0.718,
Yainer DiazPlayer Note HOU - C 9:40 pm @ ATH,@ ATH,,FA,95,121,551,44%,92/330,37,14,43,0,0.763,
"Tyrone TaylorNo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,95,1404,552,1%,58/212,34,11,37,3,0.822,
Nolan SchanuelIL10Player Note LAA - 1B 10:10 pm @ SEA,@ SEA,,FA,107,290,557,9%,108/392,43,7,49,1,0.736,
"Ernie ClementPlayer Note TOR - 1B,2B,3B,SS Bot 1, 2-0 vs CIN",CIN,,Cookie Monster ,155,187,573,49%,153/580,60,9,48,7,0.661,
"Tim TawaPlayer Note AZ - 1B,2B,3B,OF 9:40 pm @ SD",@ SD,,No Longer Rowdy,101,1476,585,10%,70/301,38,11,41,8,0.682,
"Francisco AlvarezPlayer Note NYM - C Bot 2, 1-2 @ WSH",@ WSH,,Fightin Farmers,111,245,587,17%,87/367,37,16,42,0,0.721,
"Andrés ChaparroPlayer Note WSH - 1B Bot 2, 2-1 vs NYM",NYM,,FA,81,1596,597,1%,49/191,33,11,37,0,0.854,
"Brady HousePlayer Note WSH - 3B Bot 2, 2-1 vs NYM",NYM,,FA,92,1425,603,2%,76/311,42,10,45,3,0.703,
Daulton VarshoIL10New Player Note HOU - OF 9:40 pm @ ATH,@ ATH,,FA,140,161,606,18%,107/484,51,12,40,12,0.636,
"Tommy EdmanNew Player Note LAD - 2B,3B,OF 10:15 pm @ SF",@ SF,,NY Bombsquad,82,1315,610,30%,68/284,44,8,41,6,0.699,
"Derek HillNo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,116,1513,611,0%,48/199,30,11,31,13,0.733,
Dalton RushingNew Player Note LAD - C 10:15 pm @ SF,@ SF,,Fightin Farmers,78,302,617,6%,55/221,37,12,36,0,0.798,
"Nick LoftinPlayer Note KC - 2B,3B,OF Top 1, Delay vs CLE",CLE,,FA,118,1543,624,1%,89/371,42,8,45,4,0.71,
"Donovan WaltonPlayer Note ATH - 2B,3B,SS 9:40 pm vs HOU",HOU,,FA,89,1583,632,1%,60/222,36,9,32,3,0.831,
"Justin CrawfordNo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,146,365,635,5%,109/414,48,3,41,16,0.665,
"Andrew VaughnIL10New Player Note MIL - 1B,3B 7:40 pm vs STL",STL,,Fightin Farmers,104,257,637,24%,88/288,33,6,43,0,0.834,
Ezequiel TovarPlayer Note COL - SS 7:40 pm @ CWS,@ CWS,,FA,143,212,642,32%,98/455,56,12,43,8,0.604,
"J.T. RealmutoPlayer Note PHI - C Bot 3, 0-2 vs TB",TB,,FA,120,381,643,17%,84/405,51,11,50,3,0.619,
"Gary SánchezPlayer Note MIL - C,1B 7:40 pm vs STL",STL,,FA,84,385,660,1%,46/219,36,11,36,0,0.769,
"Joe MackPlayer Note MIA - C Bot 1, 0-0 vs ATL",ATL,,FA,104,1560,672,2%,70/301,39,13,51,0,0.671,
"Ryan ViladeNo new player Notes TB - 1B,2B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,93,1607,695,0%,58/237,28,11,41,3,0.758,
"Connor NorbyNew Player Note COL - 1B,2B,3B 7:40 pm @ CWS",@ CWS,,The Eds,103,1460,710,11%,79/324,36,7,33,10,0.721,
"Nathan LukesPlayer Note TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,123,537,713,3%,111/402,48,10,40,1,0.71,
"Dane MyersPlayer Note CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,FA,117,1406,723,1%,75/292,39,8,27,10,0.721,
"C. Encarnacion-StrandPlayer Note BAL - 1B,3B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,57,1570,737,12%,52/190,25,11,39,1,0.835,
Jorge SolerNANo new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,No Longer Rowdy,86,1601,744,5%,64/316,36,12,49,0,0.664,
"Kyle ManzardoNANo new player Notes CLE - 1B Top 1, Delay @ KC",@ KC,,FA,102,293,761,5%,67/312,40,13,39,0,0.684,
Will SmithPlayer Note LAD - C 10:15 pm @ SF,@ SF,,Trust The Process,71,221,766,67%,57/228,34,10,34,0,0.77,
"Rhys HoskinsIL10No new player Notes CLE - 1B Top 1, Delay @ KC",@ KC,,FA,95,1628,771,1%,47/263,33,13,38,1,0.682,
"Luke RaleyIL60No new player Notes SEA - 1B,OF 10:10 pm vs LAA",LAA,,Fightin Farmers,95,390,782,4%,59/262,28,15,39,1,0.723,
"Blaze AlexanderIL10New Player Note BAL - 2B,3B,SS,OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,The Eds,93,1258,785,4%,79/261,35,4,31,10,0.772,
"Pedro RamirezPlayer Note CHC - 2B,3B L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,78,1580,799,5%,61/234,36,6,32,9,0.725,
"Isaac CollinsPlayer Note KC - OF Top 1, Delay vs CLE",CLE,,FA,143,1479,811,1%,93/435,47,6,40,8,0.645,
"Alejandro KirkPlayer Note TOR - C Bot 1, 2-0 vs CIN",CIN,,FA,77,305,814,38%,76/270,24,10,42,1,0.771,
Jose SiriPlayer Note LAA - OF 10:10 pm @ SEA,@ SEA,,FA,105,1608,818,0%,52/222,35,9,30,9,0.691,
Carlos CortesPlayer Note ATH - OF 9:40 pm vs HOU,HOU,,FA,121,276,831,2%,85/336,30,10,43,2,0.721,
"Dominic SmithNo new player Notes ATL - 1B Bot 1, 0-0 @ MIA",@ MIA,,FA,106,1447,833,1%,67/264,39,8,44,0,0.686,
"José FermínNo new player Notes STL - 2B,3B,OF 7:40 pm @ MIL",@ MIL,,FA,115,1563,841,1%,81/320,33,6,41,8,0.678,
"Justin FoscuePlayer Note TEX - 1B,2B 8:10 pm @ MIN",@ MIN,,FA,97,1613,848,1%,60/222,26,11,34,0,0.818,
"Tyler TolbertNo new player Notes KC - 2B,SS,OF Top 1, Delay vs CLE",CLE,,FA,77,1502,857,2%,37/126,32,3,8,22,0.762,
"Edmundo SosaPlayer Note PHI - 2B,3B,SS,OF Bot 3, 0-2 vs TB",TB,,FA,82,1481,862,1%,55/224,29,8,43,4,0.698,
"Luis TorrensNo new player Notes NYM - C Bot 2, 1-2 @ WSH",@ WSH,,FA,90,1581,864,1%,60/252,36,9,41,1,0.697,
Wade MecklerPlayer Note LAA - OF 10:10 pm @ SEA,@ SEA,,FA,95,1515,874,1%,86/289,40,3,27,8,0.75,
"Jackson HollidayIL10Player Note BAL - 2B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,Rafael Devers,98,319,889,22%,72/315,45,7,30,8,0.64,
Josh LowePlayer Note LAA - OF 10:10 pm @ SEA,@ SEA,,FA,112,1547,895,1%,64/303,32,12,29,10,0.642,
"Austin WellsNew Player Note NYY - C L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,121,1594,896,5%,62/332,38,14,32,4,0.624,
"Jake CronenworthPlayer Note SD - 1B,2B,SS 9:40 pm vs AZ",AZ,,FA,106,1422,907,13%,82/367,45,7,36,9,0.622,
"Andruw MonasterioNo new player Notes BOS - 1B,2B,3B,SS W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Trust The Process,104,1589,911,5%,72/303,35,6,42,4,0.681,
"Dylan BeaversNo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,102,1602,914,2%,72/315,38,7,39,5,0.664,
"Austin MartinNo new player Notes MIN - 2B,OF 8:10 pm vs TEX",TEX,,FA,116,310,916,1%,69/298,42,3,24,12,0.662,
"Kerry CarpenterIL10Player Note DET - OF Top 2, 0-0 vs PIT",PIT,,FA,81,241,926,29%,48/231,27,13,36,0,0.692,
Matt ChapmanIL60No new player Notes SF - 3B 10:15 pm vs LAD,LAD,,FA,84,81,927,38%,72/307,35,7,42,0,0.692,
"Jorge MateoPlayer Note TB - 2B,SS,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,94,1604,936,1%,41/199,40,5,18,19,0.567,
"Mickey GasperDTDNew Player Note BOS - C,1B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,66,1645,938,15%,48/188,26,10,24,0,0.835,
"Maikel GarciaPlayer Note KC - 2B,3B,SS,OF  Top 1, Delay vs CLE",CLE,,Detroit Fastballs,80,189,941,61%,80/304,38,3,38,5,0.703,
Braden MontgomeryPlayer Note CWS - OF 7:40 pm vs COL,COL,,Stealth Bomber,90,232,947,5%,70/315,45,6,38,1,0.66,
Lars NootbaarNo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,87,315,953,2%,66/275,35,7,31,2,0.714,
Jacob WilsonIL60No new player Notes ATH - SS 9:40 pm vs HOU,HOU,,Trust The Process,80,143,963,36%,85/320,37,7,37,4,0.686,
"Mark VientosPlayer Note NYM - 1B,3B Bot 2, 1-2 @ WSH",@ WSH,,FA,85,223,969,3%,57/267,28,13,39,0,0.658,
"Amed RosarioNo new player Notes NYY - 2B,3B L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,86,1603,974,1%,52/223,28,10,33,3,0.679,
"Samad TaylorPlayer Note SD - 2B,OF 9:40 pm vs AZ",AZ,,FA,45,173,977,10%,47/145,26,2,18,12,0.821,
"Jonah HeimPlayer Note ATH - C,1B 9:40 pm vs HOU",HOU,,FA,103,1630,982,2%,71/351,33,13,42,0,0.629,
"Ryan McMahonPlayer Note NYY - 3B L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,123,1588,984,1%,68/324,32,11,40,3,0.628,
"Masataka YoshidaIL10No new player Notes BOS - OF W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,87,1586,986,1%,72/263,34,5,28,2,0.746,
"Max MuncyIL10Player Note ATH - 2B,3B,SS 9:40 pm vs HOU",HOU,,FA,82,1629,991,3%,59/256,31,9,30,3,0.683,
Luis CampusanoPlayer Note SD - C 9:40 pm vs AZ,AZ,,FA,69,1650,992,2%,56/209,23,8,29,0,0.805,
"José TenaNo new player Notes WSH - 2B,3B,OF Bot 2, 2-1 vs NYM",NYM,,FA,113,1635,993,0%,57/256,36,7,25,6,0.674,
"Luis Robert Jr.IL10No new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,Trust The Process,61,226,997,36%,45/204,26,11,26,2,0.707,
"Endy RodríguezIL60No new player Notes PIT - C,1B Top 2, 0-0 @ DET",@ DET,,FA,45,1657,1003,1%,36/135,20,7,20,6,0.84,
"Luis RengifoIL60No new player Notes SD - 2B,3B,OF 9:40 pm vs AZ",AZ,,Fightin Farmers,95,1521,1008,4%,75/312,38,4,36,6,0.636,
"Jonah CoxPlayer Note SF - 2B,OF 10:15 pm vs LAD",LAD,,The Eds,59,1633,1009,11%,37/139,25,4,16,15,0.718,
Sal FrelickPlayer Note MIL - OF 7:40 pm vs STL,STL,,Cash is King,109,250,1011,6%,78/334,36,4,40,7,0.622,
"Henry DavisPlayer Note PIT - C Top 2, 0-0 @ DET",@ DET,,FA,96,1691,1013,0%,42/253,32,10,38,3,0.576,
Jesús SánchezPlayer Note AZ - OF 9:40 pm @ SD,@ SD,,FA,105,1532,1025,2%,72/284,24,8,35,1,0.712,
"Myles StrawPlayer Note TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,144,1542,1028,0%,69/290,44,3,26,7,0.643,
"Max ClarkNew Player Note DET - OF Top 2, 0-0 vs PIT",PIT,,Stealth Bomber,48,1647,1038,44%,47/166,26,3,23,5,0.805,
"Jeremiah JacksonPlayer Note BAL - 2B,3B,OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,100,333,1039,2%,59/269,28,9,44,2,0.606,
"Victor CaratiniNo new player Notes MIN - C,1B 8:10 pm vs TEX",TEX,,FA,105,1617,1042,2%,71/323,28,7,44,0,0.625,
"Miguel AmayaNew Player Note CHC - C L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,81,1643,1043,1%,48/208,35,6,26,0,0.7,
"Eli WhiteIL10Player Note BOS - OF W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,96,1585,1044,0%,47/191,27,6,29,5,0.687,
"Ryan KreidlerPlayer Note MIN - 2B,3B,SS,OF 8:10 pm vs TEX",TEX,,Fightin Farmers,104,1671,1045,0%,52/241,31,8,28,4,0.659,
"Jared TrioloNo new player Notes PIT - 1B,2B,3B,SS Top 2, 0-0 @ DET",@ DET,,FA,122,1573,1047,1%,77/320,34,3,29,13,0.617,
"Rafael Flores Jr.Player Note PIT - C,1B Top 2, 0-0 @ DET",@ DET,,Joey Spierer's Team,45,1681,1049,10%,38/140,16,10,22,0,0.871,
"Oswald PerazaNo new player Notes LAA - 1B,2B,3B,SS 10:10 pm @ SEA",@ SEA,,FA,122,1634,1050,2%,76/337,33,7,25,12,0.617,
"Tyler O'NeillIL60Player Note BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,Fightin Farmers,85,1655,1053,1%,49/231,31,10,23,1,0.677,
"Matt ShawNo new player Notes CHC - 2B,3B,OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,74,211,1056,6%,38/164,25,5,24,4,0.732,
Brent RookerIL60Player Note ATH - OF  9:40 pm vs HOU,HOU,,Joe Byron,48,202,1060,41%,36/180,20,10,29,2,0.67,
"Anthony VolpeNew Player Note NYY - 2B,SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,68,291,1065,6%,51/212,24,2,26,12,0.649,
"Agustín RamírezPlayer Note MIA - C Bot 1, 0-0 vs ATL",ATL,,Cookie Monster ,69,1545,1067,30%,51/215,30,5,24,4,0.684,
Ryan WaldschmidtNo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,81,353,1069,3%,64/250,30,3,22,7,0.693,
Ramón LaureanoIL60No new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,53,1544,1070,22%,37/182,23,7,21,7,0.66,
"Eduardo ValenciaPlayer Note DET - C,1B Top 2, 0-0 vs PIT",PIT,,Detroit Fastballs,39,1654,1073,3%,40/118,20,6,18,0,0.968,
"John RavePlayer Note KC - OF Top 1, Delay vs CLE",CLE,,FA,50,1673,1074,0%,31/135,24,6,13,7,0.748,
Brenton DoylePlayer Note CWS - OF 7:40 pm vs COL,COL,,FA,84,278,1076,28%,47/204,33,4,13,14,0.606,
"Nick FortesNo new player Notes TB - C Bot 3, 2-0 @ PHI",@ PHI,,FA,107,1616,1077,1%,76/290,32,5,34,0,0.681,
Brett SullivanNo new player Notes COL - C 7:40 pm @ CWS,@ CWS,,FA,81,1684,1079,0%,49/215,23,7,33,1,0.667,
"Ben MalgeriPlayer Note DET - OF Top 2, 0-0 vs PIT",PIT,,FA,57,1693,1082,0%,29/116,18,5,20,5,0.775,
"Jorbit VivasNo new player Notes WSH - 2B,3B Bot 2, 2-1 vs NYM",NYM,,FA,119,1668,1085,0%,74/306,32,3,31,2,0.662,
"George Lombard Jr.New Player Note NYY - 2B,3B,SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,41,1687,1087,35%,36/148,23,7,22,2,0.718,
"Denzer GuzmanPlayer Note LAA - 3B,SS 10:10 pm @ SEA",@ SEA,,FA,84,1660,1089,1%,60/274,32,8,33,2,0.606,
"Moisés BallesterosNo new player Notes LAA - C,1B 10:10 pm @ SEA",@ SEA,,No Longer Rowdy,102,1663,1092,4%,68/310,26,9,35,1,0.624,
"Brandon ValenzuelaNo new player Notes TOR - C,1B Bot 1, 2-0 vs CIN",CIN,,FA,89,1696,1094,2%,53/237,28,8,22,2,0.67,
"Ben WilliamsonPlayer Note TB - 2B,3B,SS Bot 3, 2-0 @ PHI",@ PHI,,FA,86,1621,1095,0%,62/256,32,3,26,8,0.629,
Taylor TrammellPlayer Note HOU - OF 9:40 pm @ ATH,@ ATH,,FA,96,1704,1098,0%,49/250,29,8,22,4,0.635,
"Alex FreelandNANew Player Note LAD - 2B,3B,SS 10:15 pm @ SF",@ SF,,FA,89,1683,1102,0%,54/231,32,4,21,4,0.652,
"Daniel SchneemannNo new player Notes CLE - 2B,3B,SS,OF Top 1, Delay @ KC",@ KC,,FA,90,398,1104,1%,53/258,29,6,29,6,0.591,
Joshua BáezIL10Player Note STL - OF 7:40 pm @ MIL,@ MIL,,Detroit Fastballs,29,1710,1105,29%,23/100,18,7,18,2,0.788,
"Edouard JulienNANo new player Notes COL - 1B,2B 7:40 pm @ CWS",@ CWS,,FA,88,1697,1106,0%,49/236,37,3,20,5,0.614,
"Patrick BaileyNo new player Notes CLE - C Top 1, Delay @ KC",@ KC,,FA,109,1646,1107,1%,62/303,28,8,34,3,0.586,
"Nick SogardPlayer Note BOS - 1B,2B,3B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Joe Byron,63,1672,1109,13%,59/229,28,5,19,0,0.735,
Dustin HarrisPlayer Note SD - OF 9:40 pm vs AZ,AZ,,FA,42,1670,1110,6%,34/120,19,0,19,10,0.713,
Elias DíazPlayer Note TEX - C 8:10 pm @ MIN,@ MIN,,FA,86,1653,1112,0%,50/217,20,7,34,0,0.65,
"Nolan GormanPlayer Note STL - 2B,3B 7:40 pm @ MIL",@ MIL,,FA,83,1677,1113,1%,49/261,26,9,33,0,0.588,
James McCannNew Player Note AZ - C 9:40 pm @ SD,@ SD,,FA,48,1648,1118,0%,42/147,16,6,26,0,0.765,
"Brett BatemanDTDNew Player Note TOR - OF Bot 1, 2-0 vs CIN",CIN,,Cash is King,38,1662,1119,8%,48/150,27,2,11,3,0.807,
"Trevor StoryPlayer Note BOS - SS  W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Joey Spierer's Team,62,307,1120,40%,59/246,24,5,29,5,0.628,
"Miguel AndujarIL10Player Note SD - 3B,OF 9:40 pm vs AZ",AZ,,FA,74,372,1121,1%,62/239,24,5,22,2,0.726,
"Austin HedgesNo new player Notes CLE - C Top 1, Delay @ KC",@ KC,,FA,76,1692,1122,0%,52/210,23,5,24,1,0.692,
Kyle TeelPlayer Note CWS - C 7:40 pm vs COL,COL,,Ranger danger,37,324,1124,6%,22/112,20,5,24,0,0.69,
"Alika WilliamsDTDNew Player Note ATH - 2B,3B,SS 9:40 pm vs HOU",HOU,,FA,88,1680,1125,0%,58/215,29,4,16,2,0.735,
"Jordan LawlarPlayer Note AZ - 3B,MI,OF 9:40 pm @ SD",@ SD,,Detroit Fastballs,42,391,1128,5%,30/117,16,5,15,5,0.764,
"Tyler FreemanNANo new player Notes COL - 2B,OF 7:40 pm @ CWS",@ CWS,,FA,79,1593,1129,1%,63/255,29,3,23,6,0.631,
"Jose FernandezNo new player Notes AZ - 1B,3B,SS 9:40 pm @ SD",@ SD,,FA,71,1665,1130,1%,52/202,26,3,16,9,0.646,
"Miguel RojasNo new player Notes LAD - 2B,3B,SS 10:15 pm @ SF",@ SF,,FA,103,1636,1131,1%,59/220,22,4,22,1,0.704,
