Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Munetaka MurakamiPlayer Note CWS - 1B,3B 7:40 pm vs COL",COL,,Fightin Farmers,124,102,45,91%,90/441,79,33,74,1,0.815,
"Oneil CruzPlayer Note PIT - OF Bot 1, 0-0 @ DET",@ DET,,NY Bombsquad,95,61,46,96%,102/364,63,20,67,29,0.856,
"Michael Harris IIPlayer Note ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,Joey Spierer's Team,153,37,47,96%,170/583,76,26,86,12,0.806,
"Kevin McGoniglePlayer Note DET - 3B,SS  Bot 1, 0-0 vs PIT",PIT,,Detroit Fastballs,153,74,49,94%,165/593,95,17,70,12,0.806,
Max MuncyPlayer Note LAD - 3B  10:15 pm @ SF,@ SF,,Ranger danger,147,220,50,82%,121/482,80,29,76,3,0.835,
"Luis García Jr.Player Note NYY - 1B,2B L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Rafael Devers,146,209,51,84%,142/513,68,30,91,5,0.83,
"Juan SotoPlayer Note NYM - OF  Bot 2, 1-2 @ WSH",@ WSH,,The Eds,108,3,53,99%,106/387,61,27,68,9,0.915,
"Yandy DíazPlayer Note TB - 1B Bot 3, 2-0 @ PHI",@ PHI,,Fightin Farmers,152,72,54,95%,177/606,90,22,85,3,0.804,
"Kazuma OkamotoNo new player Notes TOR - 1B,3B Bot 1, 2-0 vs CIN",CIN,,Detroit Fastballs,153,271,56,87%,130/560,80,33,89,1,0.759,
"Bryan ReynoldsPlayer Note PIT - OF Bot 1, 0-0 @ DET",@ DET,,Joe Byron,159,97,57,91%,153/587,101,17,71,9,0.787,
Nolan ArenadoNew Player Note AZ - 3B 9:40 pm @ SD,@ SD,,Joey Spierer's Team,149,280,58,45%,133/524,77,29,83,4,0.795,
Mike TroutPlayer Note LAA - OF 10:10 pm @ SEA,@ SEA,,No Longer Rowdy,140,166,64,93%,124/505,85,22,54,11,0.813,
"Drake BaldwinNo new player Notes ATL - C Bot 1, 0-0 @ MIA",@ MIA,,Joe Byron,136,68,65,97%,153/540,84,24,77,3,0.814,
"Jazz Chisholm Jr.New Player Note NYY - 2B,3B  L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Detroit Fastballs,136,39,66,90%,109/467,69,19,55,41,0.717,
"Daylen LilePlayer Note WSH - OF Bot 2, 2-1 vs NYM",NYM,,The Eds,157,125,67,76%,146/591,81,22,88,15,0.732,
"Riley GreenePlayer Note DET - OF  Bot 1, 0-0 vs PIT",PIT,,Detroit Fastballs,137,50,68,97%,141/500,78,21,75,3,0.849,
Andy PagesPlayer Note LAD - OF  10:15 pm @ SF,@ SF,,Stealth Bomber,131,49,69,83%,137/502,73,21,80,12,0.8,
"Wilyer AbreuPlayer Note BOS - OF  W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Fightin Farmers,154,90,71,87%,147/586,81,24,74,8,0.781,
Gabriel MorenoNew Player Note AZ - C 9:40 pm @ SD,@ SD,,Cash is King,128,334,72,79%,144/467,70,16,81,6,0.87,
